id,video_id,title,description,views,likes,comments,hashtags,channel,published_at,category_id,duration,definition,crawl_date
1,-o5BZw5hg-0,Salman Khan ☠ vs Journalist ☠ roast battle 😯 #shorts #comedy #biggboss #pranitmore #taniyamittal,,5953531,95109,90,[],bivashsharma,2025-10-11T04:47:08Z,24,PT24S,hd,2025-10-12T04:03:19.681086
2,92dHujCrCRE,Chunnu ne chuhe 🐁 ko Bille 🐱 se bacha liya #comedy #funny #shortsfeed #cutebaby #viralvideo,,5697691,0,6,[],Chunnu Munnu Vines,2025-10-11T08:45:00Z,23,PT11S,hd,2025-10-12T04:03:19.681278
3,FeDY5iSc0HM,😂🤣अब कोई बोले तो बोले क्या #shorts #comedy #wife #question #funny #trending #viralvideo,"😂🤣अब कोई बोले तो बोले क्या #shorts #comedy #wife #question #funny #trending #viralvideo

funny shorts, trending shorts, viral video, comedy shorts, hilarious clips, husband wife comedy, couple comedy, married life comedy, romantic funny, wife comedy, relatable comedy, funny reactions, desi comedy, indian funny shorts, laugh out loud, lol moments, you laugh you lose, try not to laugh, viral comedy, trending comedy, must watch funny, memes 2025, trending memes, short comedy, reels funny, comedy gold, funny TikToks, funny compilation, hilarious fails, comedy skits, short video comedy, funny videos 2025, indian comedy, desi funny reels, couple funny moments, marriage jokes, love comedy, wife jokes, pati patni comedy, desi humor, question answer comedy, meme reactions",5356996,58754,133,"['funny shorts', 'trending shorts', 'viral video', 'comedy shorts', 'hilarious clips', 'relatable comedy', 'desi comedy', 'indian funny shorts', 'laugh out loud', 'memes', 'funny reels', 'short comedy', 'reels funny', 'comedy gold', 'funny TikToks', 'funny compilation', 'husband wife comedy', 'couple comedy', 'married life jokes', 'love comedy', 'viral laughs', 'desi humor', 'funny videos 2025', 'trending comedy', 'lol moments', 'short video comedy']",TheMoneyMentor,2025-10-11T05:23:07Z,22,PT54S,hd,2025-10-12T04:03:19.681185
4,YaHYXM5htfY,I’m NOT eating this @NickWilkins #relatablestories #comedy #funnymemes,"This is a funny meme mixed with storytelling style video about how I tried the biggest candy against Doctor Mike’s advice with my friend Nick Wilkins ruining it out of nowhere in the hilarious way possible. The ending is actually funny!

#storytelling #funny #relatable #shorts #memes #gamtmg #wgitachi",5106302,158861,2682,[],Tyler Vitelli,2025-10-11T12:49:30Z,24,PT11S,hd,2025-10-12T04:03:19.681138
5,HVBllDlfzok,Bomb Jal Raha tha 💥💣 #shorts #funny #comedy #comedyshorts,Bomb Jal Raha tha 💥💣 #shorts #funny #comedy #comedyshorts,4288786,79072,117,"['Shorts', 'funny', 'comedy', 'comedy shorts', 'viral comedy video', 'Bomb Jal Raha Tha', 'Diwali comedy', 'Youtube trending comedy shorts', 'Indian family comedy shorts', 'lol', 'memes', 'vines', 'Family', 'family drama', 'Desi comedy', 'jaykeviness']",Jay Singh,2025-10-11T15:30:11Z,23,PT55S,hd,2025-10-12T04:03:19.681170
6,Ip75bCz0Bik,Didi ke sath mazak 🤣🤣#shorts #funny #comedy #ytshorts #shortsfeed #trendingshorts #viralvideo,,3438827,10728,4,[],rohittt_024,2025-10-11T04:30:18Z,22,PT9S,hd,2025-10-12T04:03:19.681300
7,obm9ZPEiH0Q,I’m NOT doing this #relatablestories #comedy #funnymemes,"This is a funny meme mixed with storytelling style video about how I struggled to set an alarm with the 24-hour clock in the hilarious way possible. The ending is actually funny!

#storytelling #funny #relatable #shorts #memes #gamtmg #wgitachi",3305664,65521,4214,[],Tyler Vitelli,2025-10-11T17:01:05Z,24,PT9S,hd,2025-10-12T04:03:19.681360
8,dtKyDUyJQsc,Bandar burush karne laga 🤣🤣#shorts #funny #comedy #ytshorts #shortsfeed #trendingshorts #viral,,2879806,7620,2,[],rohittt_024,2025-10-11T04:29:54Z,22,PT6S,hd,2025-10-12T04:03:19.681325
9,bh-a6b1eOts,Abeera k lie juice aur lays#funny #garibkibhukh #comedy #ytshorts #emotional,,2830961,21287,20,[],Amer fun,2025-10-11T08:00:48Z,24,PT27S,hd,2025-10-12T04:03:19.681290
10,AFlNhFf21RI,बहू की डिलीवरी और दादी मां #comedy #funny #shorts,,2785099,31440,28,[],Ajay SS Comedy Shorts Official ,2025-10-11T12:30:43Z,23,PT1M,hd,2025-10-12T04:03:19.681309
11,SeC10P7dslw,🤣🤣🤣 #trending #trendingshorts #shorts #short #viral #comedy #funny #couple #shortvideo,,2407872,23000,43,[],diyafavas_official,2025-10-11T06:09:16Z,22,PT24S,hd,2025-10-12T04:03:19.681316
12,Q71q7vYR7tU,উফফ মনা.. তোমার আমার মতো সেজে কোনো লাভ নেই | Baby Mom Comedy | Baby Mom Monti #funny #bengalicomedy,"উফফ মনা.. তোমার আমার মতো সেজে কোনো লাভ নেই
Ruhi Dance Comedy - Part 1
Baby Mom Comedy
Baby Mom Monti
Bengali Comedy


Facebook ~ https://www.facebook.com/babymommonti/
Instagram ~ https://www.instagram.com/baby_mom_monti/


#babymomcomedy #bengalicomedy #funnyvideo 


Copyright @ Baby Mom Monti. All rights reserved. This visual production contains original artistic content and ideas.
Any unauthorized reproduction of this content (idea / videos / clips / pictures) in any form will result in immediate action against the concerned video / channel.
(অনুমতি ছাড়া এই content (Idea/ভিডিও/ক্লিপ/ছবি) যে কোনো আকারে পুনরুৎপাদন করলে সংশ্লিষ্ট ভিডিও/চ্যানেলের বিরুদ্ধে তাৎক্ষণিক ব্যবস্থা নেওয়া হবে)

#BabyMomMonti #IndianVlogger #Vlogger",2324622,23288,0,"['makeup short', 'ruhi makeup', 'pujo makeup comedy', 'ruhi momnti makeup comedy', 'baby mom comedy', 'maa meyer comedy', 'maa meye funny video', 'baby v/s mom comedy', 'maa v/s meye comedy', 'mom v/s daughter comedy', 'mother v/s daughter comedy', 'ruhi', 'baby mom monti tiktok', 'hasir video', 'funny video', 'mojar video', 'baby mom monti', 'bengali comedy', 'ruhi dance', 'ruhir nach', 'function comedy', 'ruhi video', 'ruhi cartoon', 'cartoon', 'mona', 'monti', 'comedy', 'bangla comedy', 'durga puja makeup', 'part 1']",Baby Mom Monti,2025-10-11T07:00:33Z,22,PT1M,hd,2025-10-12T04:03:19.681343
