id,video_id,title,description,views,likes,comments,hashtags,channel,published_at,category_id,duration,definition,crawl_date
1,mTFlbNpL0yg,पेट्रोल भरवाते वक्त ये गलती मत करना #shorts #viralvideo #facts #education #knowledge,"पेट्रोल भरवाते वक्त ये गलती मत करना 
#shorts 
#viralvideo 
#facts 
#education
 #knowledge
#information
disclaimer :- yah video education knowledge aur information ke purpose se banai gai hai is video mein kisi bhi tarike ka koi bhi medical advice nahin Di gai hai medical advice ke liye kripya aap apne doctor se Salah Karen aur is video ko YouTube policy ko Dhyan mein rakhkar banai gai hai
Yt shorts 
Youtube shorts 
Viral video 
health 
Facts 
E-Challan
Science u
Knowledge 
Indian railway 
Information 
world hindi khoj 
Motivation 
Short 
Shorts 
UnHygienic food
petrol pump scam se kaise bache
 petrol pump fraud se kaise bache
short youtube video📈 petrol pump scam se kaise bache 👈
petrol chori se kaise bache
petrol ki chori se kaise bache
petrol pump scam
petrol pump scam secret
petrol pump scams
new petrol pump scam
petrol pump scam kar diya
petrol pump scam exposed
scam in petrol pump
common petrol pump scam
petrol pump scams fight
 petrol pump big scam
petrol pump scam techniques
petrol pump scam in india
petrol pump scams caught",419495,4718,13,"['पेट्रोल भरवाते वक्त ये गलती मत करना', 'share', 'shorts', 'yt shorts', 'YouTube short', 'education', 'knowledge', 'information', 'Indian railways', 'petrol pump scam se kaise bache', 'petrol pump scam in india']",world hindi khoj ,2025-10-11T12:51:00Z,22,PT35S,hd,2025-10-12T04:02:31.243618
2,QKCL_0h3l-A,सुनकर समझने की शक्ति का विकास करती गतिविधि #viralvideo #education,,352986,2385,2,[],Brijendra Mishra,2025-10-11T12:20:44Z,24,PT20S,hd,2025-10-12T04:02:31.243668
3,8jJk392kV2Q,#motivation #facts #motivational #history #education #upsc #mahakumbh2025 #bankips #ytbuddies,#motivation #facts #motivational #history #education #upsc #mahakumbh2025 #bankips #ytbuddies,225578,0,6,[],Inspire Nation Hub,2025-10-11T15:59:01Z,27,PT21S,hd,2025-10-12T04:02:31.243681
4,zSiDPD9EWoY,Windows 10 end #Windows #linux #ai #dsa #coding #top #python #education #college,"Windows 10 has officially reached its end of life — marking the beginning of a new tech era! 🚀
Whether you’re switching to Linux, exploring AI tools, or diving deep into DSA and Python, this is your time to evolve with technology. 💻
#TechRevolution #LearningNeverStops #CodingJourney


#Windows10 #Windows #Linux #AI #DSA #Coding #Top #Python #Education #College #Developers #Programming #TechNews #Innovation #StudentLife #Motivation #FutureIsNow #TechCommunity #LearnCoding #Upgrade",170261,1669,124,[],DevStudio,2025-10-11T04:40:48Z,28,PT7S,hd,2025-10-12T04:02:31.243693
5,e9z35cz3sEU,Find new words #trickshorts #braintestsolution #thinking #brainstorming #education #student #school,,159817,2129,9,[],KAMESH EDUFUN TIME,2025-10-11T11:30:35Z,22,PT48S,hd,2025-10-12T04:02:31.243786
6,AjbyXPJsBE8,Maths Quis Test #mathstrick #mathematics #shortlive #education #alberteinstein #short #shortfeed,"Bergabung dengan channel ini untuk mendapatkan akses ke berbagai keuntungan:
https://www.youtube.com/channel/UCID1Ov4bFX9k4KCxXp--nvA/join

Bantu support  🙏
https://sociabuzz.com/fahriaziz/tribe
======================================
Enjoy selamat menonton
Jangan lupa jika terhibur like,komen dan subscriber guys
================================================================================
SOCIAL MEDIA 
Facebook :
Instagaram https://www.instagram.com/fahria_aziz
My channel https://m.youtube.com/channel/UCID1Ov4bFX9k4KCxXp--nvA
=================================================================================#mathematics #mathstrick #education #puzzle #tekatekigame #youtubeshort #quiz #shortfeed #short #video #trick #mathematics #mathstrick #education #puzzle #tekatekigame #youtubeshort #quiz #shortfeed #short #video #trick #mergefellas #livestream #turnip #gaming #turnip_live #games #gamingvideos #livetipsandtricks #mobilegames #mergefellaslive #mergefellasvideos #mergefellastipsandtricks #mergefellashighlights  #question #mathpuzzle #braintest #alberteinstei",150382,213,1,[],Fahri Aziz,2025-10-11T19:00:42Z,20,PT4H8M40S,hd,2025-10-12T04:02:31.243654
7,Jp_D9ckBKVU,👉Papa Ko Is Baat Ka Darr Tha💔👨‍👦😢 #shorts #physicswallah #alakhsir #motivation #study #education #pw,"Papa Ko Is Baat Ka Darr Tha || ALAKH SIR ||
#alakhsir #physicswallah #shorts",84955,3681,17,"['alakhsir', 'physicswallah', 'pw', 'shorts', 'motivational', 'education', 'study', 'study time', 'study tips', 'students', 'school', 'college', 'papa', 'baap', 'father', 'emotional', 'reality', 'sad', 'board exam', 'result']",Allrounder Editz,2025-10-11T06:30:10Z,27,PT53S,hd,2025-10-12T04:02:31.243955
8,slTvwozUgxQ,No Media Covered This! 💔 #education #kannada #shorts,,74688,1645,7,[],Clinomania_Tv,2025-10-11T11:25:13Z,24,PT6S,hd,2025-10-12T04:02:31.243977
9,jaMmLXtXc5U,Make 5 inner triangles using 3 lines only../Brain test 🧠 #schoollife #education #braintest #teacher,,69837,931,11,[],Anuram Learning Home ,2025-10-11T05:05:00Z,27,PT50S,hd,2025-10-12T04:02:31.243741
10,5SfAdZK5t18,#america #habesha #motivation #education #america #duel,,64031,241,20,[],Africa,2025-10-11T12:58:55Z,22,PT6S,hd,2025-10-12T04:02:32.478551
