id,video_id,title,description,views,likes,comments,hashtags,channel,published_at,category_id,duration,definition,crawl_date
1,9Cf4i9XnJDU,"Father & Daughter..❤️Eating Curd Rice, Parwal | Diwali Gift #minkutinku #shorts #comedy #funny #love","Papa ki pari |  Father Love for Daughter....  ❤️🥺 | Eating Curd Rice, Parwal | Diwali Gift
 #minkutinku #shorts #ytshorts #comedy #funny #fathersday  #love #father #fatherdaughter #friends #diwali #diwalispecial #festival #india #indian",9601701,190039,396,"['#winterSeason', '#winter', '#comedy', '#funny', '#funnyvideo', '#comedyvideo', '#viralvideo', '#shorts', '#ytshorts', '#youtubeshorts', '#shortvideo', '#trending', '#trendingshorts', '#viral', '#Dushyant_kukreja', '#bihariladka', '#rjkarishma2859', '#Chimkandi', '#Priyal Kukreja', '@ChetanMongaVlogs', '@salonayyy', '#WonderMunnaShorts', 'comedy', 'funny', '#tmkoc', '#TMKOC', 'Winter special', '@spider-maaaaaaan', 'shorts', 'youtube', '#yt', 'Every Indian while eating food', 'Taarak Mehta Ka Ooltah Chashmah', 'Jethalal Champaklal Gada', '#Jethalal', 'Sush & Yohan', '#indian', '#india', 'maa', '#maa']",Minku Tinku,2025-10-11T08:55:56Z,24,PT1M41S,hd,2025-10-12T04:02:44.062348
2,zDryhp-OhXM,Nora Fatehi Copy 🤣,"Jai Shree Ram
Nora Fatehi Copy
@Vedaaaaansh 


#kalaparda #funny #technologia #comedy #roast #facts #entertainment #minivlog #vlog


Vedansh dwivedi
Kala parda 
Vedansh",5346361,81304,1973,"['Jai Shree Ram', 'Nora Fatehi Copy', 'Mini vlogs', 'Sourav joshi vlog', 'Free Fire', 'Vedansh dwivedi', 'Kala parda', 'Vedansh']",Kala Parda ,2025-10-11T09:37:38Z,24,PT28S,hd,2025-10-12T04:02:44.062438
3,Kd05a5vqxhQ,All Best Skipper team landing 🔥🥶 | Madagascar Edit | #edit #shorts #animation @Shine-Edit90,"All Best Skipper team landing 🔥🥶 | Madagascar Edit | #edit #shorts #animation #entertainment #madagascar #penguinsofmadagascar

____________________

Credit:
🎥Movie used: Penguins of Madagascar
🎵Music used: No

Edit Software used: CapCut Pro 

____________________

© Copyright

All the videos, songs, images, and graphics used in the video belong to their respective owners and I or this channel don't claim any rights over them.

Copyright Disclaimer: Under Section 107 of the Copyright Act 1976, allowance is made for fair use for purposes such as news reporting, teaching, scholarship, and research. Fair use is a permitted by copyright statues that might otherwise be infringing. Non-profit, educational, or personal use tips the balance in favor of fair use. 

📬: zabedakhtarkazi2048@gmail.com",4438375,101342,228,[],Edit90,2025-10-11T11:30:33Z,24,PT57S,hd,2025-10-12T04:02:44.062449
4,Kd05a5vqxhQ,All Best Skipper team landing 🔥🥶 | Madagascar Edit | #edit #shorts #animation @Shine-Edit90,"All Best Skipper team landing 🔥🥶 | Madagascar Edit | #edit #shorts #animation #entertainment #madagascar #penguinsofmadagascar

____________________

Credit:
🎥Movie used: Penguins of Madagascar
🎵Music used: No

Edit Software used: CapCut Pro 

____________________

© Copyright

All the videos, songs, images, and graphics used in the video belong to their respective owners and I or this channel don't claim any rights over them.

Copyright Disclaimer: Under Section 107 of the Copyright Act 1976, allowance is made for fair use for purposes such as news reporting, teaching, scholarship, and research. Fair use is a permitted by copyright statues that might otherwise be infringing. Non-profit, educational, or personal use tips the balance in favor of fair use. 

📬: zabedakhtarkazi2048@gmail.com",4438375,101342,228,[],Edit90,2025-10-11T11:30:33Z,24,PT57S,hd,2025-10-12T04:02:45.223273
5,Ip75bCz0Bik,Didi ke sath mazak 🤣🤣#shorts #funny #comedy #ytshorts #shortsfeed #trendingshorts #viralvideo,,3438827,10728,4,[],rohittt_024,2025-10-11T04:30:18Z,22,PT9S,hd,2025-10-12T04:02:44.062470
6,1HWxkjo4dE0,Krishna ne bataya do Bade businessman ka Raj | kapil sharma show,Krishna ne bataya do Bade businessman ka Raj | kapil sharma show. #youtubeshorts #comedyshow #bollywood #indiancomedyshow #entertainment #kapilsharmashow #comedy #kapilcomedy #viralvideo #funny #viraltiktok #viralshorts #shortsfeed #shorts #comedylajawab,2940080,38912,21,"['the Kapil Sharma show', 'the Kapil Sharma show latest episode', 'the Kapil Sharma show new episode', 'kapil ki comedy', 'kapil sharma show', 'hindi comedy web series', 'comedy video', 'comedy lajawab', 'krishna as jaggu dada', 'hindi comedy', 'comedy shorts video', 'oyo founder', 'paytm founder', 'krishna as largemata', 'Kiku as motappa']",Comedy lajawab,2025-10-11T04:32:38Z,23,PT54S,hd,2025-10-12T04:02:44.062497
7,Dvxw2OnxVqM,This house is made entirely of technology🤯😹 #funny #trending,"This house is made entirely of technology #funny​ 

DESCLIMER👇

Made only for entertainment purposes No one was harmed

A new house was built, but nothing worked right! When the owner switched on the lights, water came out of the kitchen. The door wouldn’t open properly, and fixing the washing machine lid turned off all the power. Even the AC blew water instead of cool air. Truly, this house was full of hilarious construction fails!",2404304,0,38,[],Facto_Satish,2025-10-11T06:59:43Z,24,PT37S,hd,2025-10-12T04:02:44.062461
8,cLHphzh3UJ4,who will win this challenge😲😱~mini woodworking art skill /wood/ handcrafts/#shorts #entertainment,"who will win this challenge😲😱~mini woodworking art skill /wood/ handcrafts/#shorts #entertainment


Read more about me...🔰

My VIDEO WAS MADE FOR PURE 
ENTERTAINMENT PURPOSE...🔰

Footage clips:🔰
▶️We DO NOT own the video materials and images and all credits belong to the respectful owner. In case of copyright issues, please contact us immediately for further credit or clip delete:⚠️

⚠️ Copyright Disclaimer:-
Under section 107 of the copyright Act 1976, allowance is made for FAIR USE for purpose such as criticism, comment, news reporting, teaching, scholarship and research. Fair use is a use permitted by copyright statues that might otherwise be infringing. Non- Profit, educational or personal use tips the balance in favor of FAIR USE.",2159122,0,90,"['challange', 'challange shorts', 'challanges', 'viral video', 'viral', 'viral videos', 'trending shorts', 'trending short', 'short videos', 'short video', 'shorts video', 'shorts videos', 'trend', 'trend trends', 'trends', 'challanges shorts', 'challanges short', 'short', 'shorts']",Bullish Fact,2025-10-11T13:00:36Z,24,PT18S,hd,2025-10-12T04:02:44.062561
9,wYGVPW4VXF4,বৌমার ঠাকুর দেখতে যাওয়ার টেকনিক🤣। #bonggos #ytshort #shortvideo #shortsfeed #goodvibes #ubtanpowder,"বৌমার ঠাকুর দেখতে যাওয়ার টেকনিক 🤣।#Bonggos #sasurivsbouma #comedyshorts #ytshorts #shortsfeed #funnyshorts #viral #funnyvideo #comedy video #hasirvideo #natok #tiktok #tiktokvideo #viralshorts #cartoon #bonggosshorts #entertainment #malkin #malkinervideo #ma #vaibon #hasikhusii #bongos #bonggos #nonodbouma #bong go funny video #bonggofunnyvideo #হাসিখুশি #আহা #story #comedystory #bangladesh #2025newcomedy #2025tiktok #2025viralshort #2025trendingshorts #mameye #moralstory #viralstory #hasikhusiir notun video #khusii #khusiirvideo #bheemkhusiirvideo #bheem #tecnik
#GoodVibes Ubtan 
#GoodVibes GlowPowder #GoodVibesInstantUbtan 
#GoodVibesInstaGlow 
#InstantGlow 
#TanRemoval 
#Skin Brightening 
#DetoxifiesSkin 
#Exfoliating Powder





Disclaimer - video is for Entertainment purpose only . Copyright Disclaimer under section 107 of the copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favour of fair use. 


🥰 LOVE YOU ALL , KEEP SUPPORTING",1721208,35456,84,"['Bong gos', 'Bonggos', 'Bongos', 'Bonggos shorts', 'Bong go funny video', 'Ytshorts', 'Short video', 'Shorts feed', 'Comedy shorts', 'Funny shorts', 'Fun', 'Viral video', 'Trending video', 'Sasurivsbouma', 'Sasuribouma', 'Sasuriboumarjhogra', 'Mayervideo', 'Tiktok', 'Tiktokvideo', 'Bengali comedy video', 'Hasir video', 'Entertainment', 'Story', 'Moral story', 'Sad story', 'Comedy story', 'Viral story', 'Tecnik']",Bong Gos,2025-10-11T10:05:06Z,24,PT1M29S,hd,2025-10-12T04:02:44.062487
10,lgoxHC7WF9w,Marvel Television’s Wonder Man | Official Trailer | Disney+,"""Simon Williams. Reading for Wonder Man.""

#WonderMan premieres January 27 at 6PM PT only on @disneyplus.

► SUBSCRIBE to the channel to get notified when new Marvel videos are posted: https://www.youtube.com/marvel?sub_confirmation=1

► SUBSCRIBE to Disney+ to stream all of your favorite Marvel shows and movies: https://www.disneyplus.com/

Follow on social media to get the latest news and announcements from Marvel:

TikTok: https://www.tiktok.com/@marvel
Instagram: https://www.instagram.com/marvel
Facebook: https://www.facebook.com/Marvel
X: https://x.com/marvel

Experience more stories by subscribing: 

/ @Disney
/ @StarWars
/ @pixar
/ @disneyplus",1285960,56414,4292,"['marvel', 'comics']",Marvel Entertainment,2025-10-11T18:12:35Z,24,PT2M22S,hd,2025-10-12T04:02:44.062479
