id,video_id,title,description,views,likes,comments,hashtags,channel,published_at,category_id,duration,definition,crawl_date
1,QlBCA5xST6c,#games #gaming #gameplay #funny #shorts #youtubeshorts,,1563093,7589,5,[],Fun Shorts Gamer,2025-10-11T06:13:20Z,20,PT20S,hd,2025-10-12T04:02:04.526288
2,bXcPIlL3-Wg,BI HUỲNH PHÁ ĐẢO ĐỪNG ĐÁNH THỨC BRAINROT TRONG ROBLOX 🤫,"📍Blox Fruits, Roblox dưới cmt nha ae 💕
▶️Shop pack One Piece chính hãng, phụ kiện anime: https://shope.ee/5V3SfbWWr4
---------------
Nếu mn thấy thích thì đừng quên để lại cho mình 1 like & share cũng như đăng ký kênh để giúp mình ra video nhanh hơn nha!!!! Love u

▶️Facebook của mình: https://www.facebook.com/bihuynh199x
▶️Discord: https://discord.gg/bihuynhgaming

BI HUỲNH PHÁ ĐẢO ĐỪNG ĐÁNH THỨC BRAINROT TRONG ROBLOX 🤫
---------------------------------------------------------
HỢP TÁC MỜI LIÊN HỆ:
Email: bihuynh199x@gmail.com
© Youtube Partner

#roblox #bloxfruits #bihuynh",828640,7193,733,"['blox fruit', 'bi huỳnh gaming', 'bi đại thần', 'thử thách 100 ngày blox fruit', 'thử thách blox fruit', '24h blox fruit']",Bi Huỳnh Gaming,2025-10-11T10:20:00Z,20,PT24M37S,hd,2025-10-12T04:02:04.526009
3,4YGZYgZSsoc,The FINAL SENTENCE 🔫🗿,"Drop a LIKE 👍 and SUBSCRIBE 🔴 if you enjoyed the video!
Remember To Click The Bell 🔔 so you don’t miss an upload😁

Song(s): Wish (orchestra Version)
Game: Final Sentence

Join my channel to get access to my perks:
https://www.youtube.com/channel/UCsrWHWH8eHRjtWnY0TE3YNg/join

🐦:  https://twitter.com/HecticSherlock
📺:  https://www.twitch.tv/hecticsherlock
🌟: https://www.tiktok.com/@hecticsherlock

The FINAL SENTENCE 🔫🗿 #finalsentence #fyp #battleroyale #gaming #gamingshorts 

Keywords: What is Final Sentence game about, Is Final Sentence Episode 1 worth playing, How long to beat Final Sentence Episode 1, All endings guide Final Sentence The Crimson Quill, Does your choice matter in Final Sentence, When is Final Sentence Episode 2 coming out, Games like The Wolf Among Us Life is Strange, Who is the killer in Final Sentence, Best choices to make in Final Sentence, Is Final Sentence a horror game, Final Sentence story explained, Final Sentence system requirements PC",699915,25195,340,"['What is Final Sentence game about', 'Is Final Sentence Episode 1 worth playing', 'How long to beat Final Sentence Episode 1', 'All endings guide Final Sentence The Crimson Quill', 'Does your choice matter in Final Sentence', 'When is Final Sentence Episode 2 coming out', 'Games like The Wolf Among Us Life is Strange', 'Who is the killer in Final Sentence', 'Best choices to make in Final Sentence', 'Is Final Sentence a horror game', 'Final Sentence story explained', 'Final Sentence system requirements PC']",HecticSherlock Gaming,2025-10-11T20:10:31Z,20,PT27S,hd,2025-10-12T04:02:04.526539
4,cx3xRIhB-gg,"Squeezy Girls Gameplay #1999 Apple, Lemon #gaming #youtubeshorts #squeezygirls","Squeezy Girls Gameplay #1999 Apple, Lemon #gaming #youtubeshorts #squeezygirls",514354,0,3,"['squeezy girl', 'squeezy girl game', 'squeezy girl gameplay', 'squeezy girl jump', 'squeezy', 'gaming', 'shorts', 'trending', 'viral', 'shorts feed']",MR VS CR Creator ,2025-10-11T10:01:04Z,24,PT40S,hd,2025-10-12T04:02:04.526313
5,PdW4Ys-V2d0,#1 EK SAPNA BANTA HUA | CONQUEROR OR WHAT | BGMI LIVE,"INSTAGRAM - https://www.instagram.com/lolzzzgaming/

UPI - lolzzz@ptyes

BGMI Live @LoLzZzGaming 
#bgmi #lolz #lolzz #lolzzz #lolzgaming #lolzzgaming #lolzzzgaming #lolzzzgamingyt",425835,28598,17,"['lolz', 'lolzz', 'lolzzz', 'lolz gaming', 'lolzz gaming', 'lolzzz gaming', 'bgmi', 'conqueror']",LoLzZz Gaming,2025-10-12T00:47:18Z,20,PT8H14M25S,hd,2025-10-12T04:02:04.526301
6,uTg9C4SqVRM,KAASH TROLLING SCOUT ??? | #scout #funny #shorts,#scoutop #gaming #sc0ut #kaashplays #funny #funnyshorts #reel #reels #bgmi,407650,18512,62,"['Bgmi', 'Scout', 'Pubg', 'soul', 'tx', 's8ul', 'sc0ut', 'gaming', 'live', 'bgmi live', 'pubg live', 'crate opening', 'crate', 'scout live', 'sc0ut live', 'india', 'bgmi india', 'pubg india', 'pubg mobile', 'clutch', '1v4', 'bgmi clutch', 'reaction', 'funny', 'funny shorts', 'scrims', 'scout 1v4', 'bgmi 1v4', 'solo vs squad', 'shorts', 'pubg', 'pubgm', 'godl', 'funnyshorts', 'challenge', 'entertainment', 'bgmishorts', 'bgmi shorts', 'pubgshorts', 'pubg shorts', 'bgmifunny', 'bgmi funny', 'rntx', 'revenant xspark', 'scoutop', 'scout op', 'scout bgmi', 'scout pubg', 'jonathan', 'lolz', 'lolzzz', 'reels', 'reel']",Scout Shorts,2025-10-11T08:30:29Z,20,PT55S,hd,2025-10-12T04:02:04.526384
7,2mZYqRc8Bfg,Best cool game #shorts #game #games #gamer #gaming #shortsfeed,,323358,2291,0,[],G Gun Short,2025-10-11T13:00:45Z,20,PT30S,hd,2025-10-12T04:02:04.526374
8,rJWPMaf95xM,Free Fire Gaming Keyboard | ⌨️🖱 📱 Mix Pro Geek Gamer #freefire​ #mixpro​ #geekgamer​ #keyboardmouse​,"Free Fire Gaming Keyboard | ⌨️🖱 📱 Mix Pro Geek Gamer #freefire​​ #mixpro​​ #geekgamer​​ #keyboardmouse​​ 

If you're looking to take your Free Fire gameplay to the next level, using a keyboard and mouse is a great way to gain an edge over your opponents. In this video, we'll walk you through the basics of playing Free Fire with a keyboard and mouse, and provide you with an exciting and informative handcam view of the action.
With our expert tips and tricks, you'll learn how to navigate the game's controls using a keyboard and mouse, giving you greater precision and control over your character's movements. You'll also see firsthand how using a keyboard and mouse can help you react more quickly to in-game events, giving you a competitive advantage over players who use touchscreen controls.

If you're an avid Free Fire player, you know that mastering the game requires skill, strategy, and quick reflexes. Using a keyboard and mouse instead of the game's default touchscreen controls can help give you an edge in all of these areas.

In this video, we'll guide you through the process of setting up your keyboard and mouse for Free Fire, as well as provide you with a step-by-step tutorial on how to play the game with these peripherals. You'll learn how to customize your keyboard and mouse settings to suit your play style, and how to use keybindings to perform various in-game actions with ease.

To give you a complete picture of how keyboard and mouse gameplay works in Free Fire, we've also included a handcam view of our gameplay. This way, you can see exactly how we move, aim, and shoot using our keyboard and mouse in real-time.

Our expert tips and tricks will teach you how to take advantage of the precision and accuracy that a keyboard and mouse provide, allowing you to outmaneuver your opponents with ease. With practice, you'll be able to react faster to in-game events, move more fluidly, and aim with greater accuracy.

In summary, if you're looking to improve your Free Fire gameplay, this video is an essential resource. Whether you're a seasoned player or new to the game, you'll gain valuable insights and techniques that will help you dominate the competition. So get your keyboard and mouse ready, and let's take your Free Fire gameplay to the next level!
In addition to the technical aspects of setting up your keyboard and mouse for Free Fire gameplay, this video also emphasizes the importance of good hand-eye coordination and proper posture. Using a keyboard and mouse may require different hand and arm movements than using a touchscreen, so we provide tips on how to minimize strain on your wrists and maintain proper ergonomics while playing.

Moreover, the handcam view of our gameplay allows you to see how we use strategic movement, efficient looting, and accurate shooting to succeed in Free Fire. You'll learn how to use your keyboard and mouse to quickly and efficiently navigate the game's various environments, and to react swiftly to incoming threats.

Overall, if you're looking to enhance your free fire gameplay and take your skills to the next level, this video is the perfect resource. With our expert guidance and in-game examples, you'll be abl


#freefire​ #Keyboard​ And Mouse Gameplay #HandcamView​ #Expert​ Tips #Gaming​ Tutorial #Ergonomics​ #HandEyeCoordination​ #Strategy​ #Precision​ #Accuracy​ #BestSetup​ #CompetitiveGaming​ #OnlineGaming​ #PCGaming​ #Gaming​ Community
#Gaming​ Tips #Gaming​ Tricks #Online​ Gaming Community #FreeFireGameplay​ #KeyboardAndMouse​ Tutorial #ProGaming​ #E​-Sports #Gaming​ Skills #GamingMastery​ #Gameplay​ Techniques #GamingStrategy​ #QuickReflexes​ #PrecisionGaming​ #TacticalGaming​ #ErgonomicGaming​ #KeyboardAndMouseSetup​ #PCMasterRace​ #GamingEdge​ #GamingDominance​ #GamersOfInstagram​ #GamingInfluencer​ #Freefire​ Tips #Freefire​ Tricks #FreeFireCommunity​ #KeyboardAndMouseGaming​ #E​ SportsGaming #Gaming​ Skills #Gaming​ Mastery #Gameplay​ Techniques #GamingStrategy​ #QuickReflexes​ #PrecisionGaming​ #TacticalGaming​ #freefire​",276914,1468,3,[],Lalit JJ World,2025-10-11T05:30:33Z,22,PT8S,hd,2025-10-12T04:02:04.526407
9,PXYTK6ggDPo,Air balloon vada Pav 😂😅#shorts #short #trending #gaming #freefire #raistar #gyangaming #shortsfeed,,221421,3322,14,[],Lifter Gamerz ,2025-10-11T05:25:13Z,20,PT23S,hd,2025-10-12T04:02:04.526480
10,n_bXxYnCYac,My Talking Tom 2 Live Gameplay 🛑 | Funny Reactions & 🐱 Gaming 👷🏻 Entertainment #short #live,"Hey folks! Watch me play My Talking Tom 2!
Join my Club on Turnip Nishant Gaming IBD3D : undefined

Thank you for watching my My Talking Tom 2 stream. And for all the support you are showing! 🔥,
If you liked my stream, please like and subscribe. It motivates me a lot. :)
And share my channel with your game friends. 🙂  See you on my next stream!!!,

Become a star streamer - https://get.turnip.gg/become-star-streamer

🎮 Streaming via Turnip



#mytalkingtom2 #livestream #turnip #gaming #turnip_live #games #gamingvideos #livetipsandtricks #mobilegames #mytalkingtom2live #mytalkingtom2videos #mytalkingtom2tipsandtricks #mytalkingtom2highlights #youtuber #turnipclub

Today I am streaming mytalkingtom2. Other popular games:
PUBG Mobile
Garena Free Fire
Among Us
Call of Duty Mobile
Fall Guys
Call of Duty: Warzone
Grand Theft Auto V
Fortnite
Roblox
Minecraft",200987,2013,0,[],Nishant Gaming IBD3D ,2025-10-11T04:22:09Z,20,PT1H20M32S,hd,2025-10-12T04:02:04.526324
11,KNcO5PaDIQg,BIGGEST CHALLENGE ACCEPTED BY HAKSON PRO GAMING 😱 GARENA FREE FIRE ,"Hakson pro gaming
Hakson is live 
free fire max 
free fire 

#freefire #haksonprogaming #garenafreefire #freefiremax #hakson",199801,8523,312,"['hakson pro gaming', 'hakson is live', 'free fire', 'garena Free Fire', 'action bhai', 'free fire max']",Hakson is Live,2025-10-11T08:47:43Z,20,PT16M13S,hd,2025-10-12T04:02:04.526335
12,e1opfjJD1eQ,[FIL] Vici Gaming vs Team Kukuys (BO3) | RES Unchained 2: BLAST Slam V SEA Closed Qualifier,"Welcome to Official Filipino Broadcast of RES Unchained 2: BLAST Slam V SEA Closed Qualifier

Schedule of Matches: 

- Team Kukuys vs Ivory
- Vici Gaming vs Yangon Galacticos
- Boom Esports vs Execration
- Vici Gaming vs Team Kukuys

Use GearUP to get lower and stable ping for Dota (Try it for free with code ""KUYANIC"")
https://www.gearupbooster.com/camp/dota2/dtkol58/

#lakadmatatag  #dota2 #LuponWXC",194210,428,2,"['luponwxc', 'lupon', 'kuyanic', 'nico nazario', 'dota 2', 'Blast Slam V 2025', 'Blast Slam V 2025 Dota 2', 'Blast Slam 5 2025 Qualifiers', 'Dota 2 Blast Slam 5 2025', 'Blast Slam 5 2025', 'Blast Slam 5 Qualifiers', 'Qualifiers Blast Slam 5 2025', 'Qualifiers Blast Slam V 2025', 'Blast Slam V 2025 Qualfiers SEA', 'Blast Slam IV Dota 2 SEA Qualifiers', 'Blast Slam V Qualifiers 2025', 'Dota 2 Blast Slam V', 'Blast Slam 5 2025 Dota 2', 'Blast Slam 5 Unchained Qualifiers', 'RES Unchained: BLAST Slam V', 'Blast Slam 5 Dota 2']",KuyaNic,2025-10-11T14:29:55Z,20,PT11H16M26S,hd,2025-10-12T04:02:04.526345
13,dLlIIoOSFXE,Hulk Vs Zombie Kamla Bike Jump Challenge 🔥🤯 in Indian Bike Driving 3d #shorts #gaming,,187536,3249,0,[],WB SUMIT GAMER 2,2025-10-11T07:11:47Z,20,PT37S,hd,2025-10-12T04:02:04.526586
14,jQ7Nn-ZQzyI,I PLAYED ULTRA REALISTIC BEN 10 GAME EVER!🔥,"I finally played the most ultra-realistic Ben 10 game ever made! 🤯🔥 This game takes Ben 10 transformations, aliens, and action to a whole new level — with next-gen graphics, smooth combat, and realistic effects that’ll blow your mind! 🚀💚

From turning into Four Arms, Heatblast, and Diamondhead, to fighting epic bosses and exploring open-world missions this Ben 10 game feels like a real-life alien adventure! 👽✨

🎮 Watch till the end for crazy transformations and insane moments you won’t believe! 

Subscribe to our Other Youtube Channels

Second Gaming Channel: https://www.youtube.com/@Dattraxplays
Vlogging Channel: https://www.youtube.com/@Honeyyyy123

More About this Video!!!

#Ben10Game #Ben10 #RealisticGameplay #Gaming #Ben10Alienforce #omnitrix  

Share, Support, Subscribe!!!

Instagram:- https://instagram.com/dattraxgaming
Facebook:- https://facebook.com/DattraxGaminG
Discord:- https://discord.gg/rceeWeqfdU


Business Email : dattraxgaming.contact@gmail.com


About : Dattrax Gaming is a YouTube Channel, where you will find gaming videos in Hindi,Basically I play PC games and Android Games because it's my passion. I hope this video was enjoyable, funny and full of adventure and surely you liked it, if you did press the thumbs up button and don't forget to Subscribe.",187260,8179,913,"['Ben 10 game', 'Ben 10 gameplay', 'Ben 10 realistic game', 'ultra realistic Ben 10', 'Ben 10 realistic graphics', 'realistic Ben 10 game', 'Ben 10 open world', 'Ben 10 mods', 'Ben 10 games 2025', 'Ben 10 realistic gameplay', 'Ben 10 fighting game', 'Ben 10 hero gameplay', 'Ben 10 universe', 'new Ben 10 game', 'Ben 10 diamondhead', 'ultra realistic game', 'Dattrax Gaming', 'realistic gameplay 2025', 'Ben 10 adventure game', 'Ben 10 hero time', 'Ben 10 story mode', 'Ben 10 full gameplay', 'Ben 10 Protector Of Earth']",Dattrax Gaming,2025-10-11T06:03:08Z,20,PT22M18S,hd,2025-10-12T04:02:04.526355
15,YIfQdUX924I,Хвост не задет Apple Worm 85 - 87,"Что бы знать как начать, подумай как закончишь
#puzzlegame #games #solutions #gaming",180094,3523,32,"['симуляторы', 'игры', 'games', 'simulator', 'гонки', 'race', 'обзоры', 'обзор', 'летсплей', 'прохождение', 'конструктор', 'головоломки', 'apple worm', 'asg', 'apple worm all levels', 'apple worm gameplay', 'apple worm complete', 'apple worm level']",ASG,2025-10-11T08:22:37Z,20,PT53S,hd,2025-10-12T04:02:04.526595
