id,video_id,title,description,views,likes,comments,hashtags,channel,published_at,category_id,duration,definition,crawl_date
1,o9eG-OpGHPA,How to FIND Your ART STYLE!! 👀🎨 #arttutorial,,334035,14844,242,[],Shrimpy,2025-10-11T10:15:05Z,26,PT41S,hd,2025-10-12T04:03:09.750529
2,6gZaXBj3H1A,How to style like Yazhini ❤️🥻 | Cream Kasavu Saree with Brown Short Sleeve Blouse,"If you want to achieve that graceful Kerala Kasavu saree look, here’s how to do it.

Start with a classic off-white or cream Kasavu saree—the one with a silver or gold border. It’s simple, elegant, and instantly gives you that traditional Kerala vibe.

Now, pair it with a contrasting blouse—brown, maroon, or any earthy tone works beautifully. Go for a well-fitted, short or elbow-sleeve blouse, and if it has a gold-trimmed edge, even better! It adds that nice mix of tradition and a modern touch.

For accessories, keep it classy. A chunky oxidized silver necklace or a pathakam-style pendant looks stunning with this look. Add a pair of medium-sized jhumkas, and that’s really all you need.

You can skip the bangles or just wear one on each hand to keep things simple and elegant.

For makeup, less is more. Go for skin tones, a small black bindi, and soft kajal-lined eyes. It keeps the look fresh and authentic.

As for hair, leave it open in natural waves or go for a neat braid—both look equally beautiful and suit the minimalist Kerala style.

This look is perfect for Onam, Vishu, or temple visits, giving you that festive yet subtle South Indian charm—traditional, elegant, and timeless.


#yazhini #fashion #saree #howto",153035,2223,69,[],Yazhini,2025-10-11T08:22:12Z,26,PT7S,hd,2025-10-12T04:03:09.750594
3,-A_TIvqlD48,How to style like Yazhini ❤️🥻 | Printed golden-yellow Saree with Same Sleeveless Blouse,"If you want to recreate this trendy boho-ethnic yellow saree look, here’s how you can do it.

Start with a lightweight saree in mustard or golden-yellow tones. Look for something hand-block printed or digitally printed with small geometric or floral patterns—that’s what gives it that artsy, bohemian vibe.

Pair it with a matching or slightly contrasting block-print blouse. Keeping it in the same print family ties the whole outfit together beautifully, making it look chic and effortless.

Saree and Blouse Selection
Go for breathable fabrics like cotton, mulmul, or chiffon—perfect for daywear or warm weather.

If you can, find one with all-over block prints or Kalamkari-style motifs.

For the blouse, you can match the print or play with a subtle contrast using similar shades. Keep the design simple—a sleeveless, cap-sleeve, or boat-neck blouse always looks smart and modern.

Accessories and Styling
Now for the fun part—accessories!
Add oxidized silver jewelry to bring out that boho charm. Think big jhumkas, layered necklaces, or chunky bangles.

Carry a printed sling bag or a handmade tote to keep the artsy feel going.
Leave your hair open in soft waves, or go for a messy bun for that effortless vibe.

Keep your makeup light and natural—just a soft lip, some kajal, and a small bindi to complete the look.

This style is perfect for everyday wear, college, casual outings, travel, or even small festive events. It’s relaxed, comfortable, and still looks super fashionable—just the right mix of ethnic and modern.

#yazhini #fashion #saree #howto",87908,2038,77,[],Yazhini,2025-10-11T15:39:42Z,26,PT9S,hd,2025-10-12T04:03:09.750628
4,FLYdcKk75ZA,how to style#bhojpurisong #stickwelding #bhojpuri #welding #ytshots #ytshots,,80769,524,0,"['steel beam with crane support', 'indian steel industry', 'top steel plants in india', 'steel authority of india limited (sail)', 'steel plants locations in india', 'government steel plants in india', 'steel buildings suppliers', 'steel polish', 'steel railing', 'model sliding steel', 'steel door', 'tata steel', 'stainless steel polish', 'polish stainless steel', 'mirror polish stainless steel', 'steel railing price', 'mirror polished stainless steel', 'polishing stainless steel', 'stainless steel polishing']",rishab indian support ,2025-10-11T09:48:30Z,22,PT8S,hd,2025-10-12T04:03:09.750613
5,AMzi73x7khc,how to style,,31540,91,0,[],rishab indian support ,2025-10-11T07:45:26Z,22,PT9S,hd,2025-10-12T04:03:09.750715
6,MPQHuQPfNQ8,how to style #stickwelding #virelshorts #ytshorts #stickwelding #trendingshorts #realshort #virel,"#welding #tigwelding #weldinglife #migwelding #weldingsmostwanted #weldingrig #weldingporn #weldingart #stickwelding #weldinghelmet #aluminumwelding #weldingmachine #pipewelding #weldingshop #ilovewelding #weldingschool #weldingrigs #weldingtipsandtricks #weldingmostwanted #weldingclass #weldingmask #arcwelding #weldingtig #weldingislife #weldingisfuckingawesome #americanweldingsociety #weldinghood #weldingfulse #weldingnation #mobilewelding
#tigwelding #welding #welder #weldporn #weld #migwelding #fabrication #weldernation #weldlife #tig #weldinglife #weldeverydamnday #weldaholics #weldaddicts #welders #metalwork #stainlesssteel #weldersinc #welderswife #tigwelder #weldingsmostwanted #weldingrig #metalfabrication #metalfab #weldingclass #weldlicious #arcwelding #stickwelding #tiglife #weldmafia


tags,
best beginner welder mig
welder machine for beginners
cheap beginner welder
welder beginners tig
best beginner tig welder for aluminium
good beginner welder
beginner mig welder kit
best beginner stick welder
best beginner tig welder
how to weld exhaust tips
how to weld exhaust manifold
e weld plasma
how to weld flux core
how to weld for tha first time
how to weld fence
how to weld for dummies
beginner welder kit
namaste beginner welder matchine
beginner welder project
beginner welder setup
best beginner welder
beginner tig welder
beginner mig welder
beginner stick welder
beginner welder
beginner welder tips
beginner are welder
indiastickwelder
stick welding 
Shiv welding 
tig welding 
welding basics
welding shop 
welding jobs 
pipe welding 
tig weld 
weld.com
how to weld 
Arc welder 
tig welder 
MIG welding 
tig welding 
welder life 
arc welding 
hisab welder 
tigwelding 
welding tig
Steel welder 
stick weldingtips 
welder receive 
Amazon welder
cheap stick welder 
welders 
midgwelder
welding diy
welding basics 
welding skill 
welding work 
welding tips and tricks 
welding school 
welding techniques 
welding machine 
welding project 
welding for beginners 
welding mig
welding craft 
stick welding 
stick welding tips and tricks 
stick welding basics 
arc welding 
weld
welder
welding 
#indiastickwelder #ytshorts  #welders



#welding#weldingforbeginner #welderproject #wildingtipsandtrick #weldingtechnique #weldingtips",17291,164,1,"['stainless steel welding', 'welding workers', 'steel railing', 'steel railing design', 'stainless steel', 'buffing stainless steel', 'polishing stainless steel', 'stainless steel polishing', 'tig welding', 'mig welding', 'welding for', 'steel polish', 'welding', 'how to buffing stainless steel', 'mirror finish stainless steel', 'mirror polish stainless steel', 'welding stick', 'stick welding', 'stainless steel polish', 'polish stainless steel', 'stainless steel railing polish', 'underwater welding']",sahu top vlog ,2025-10-11T12:12:46Z,26,PT29S,hd,2025-10-12T04:03:09.750762
7,dV30ZurOX5o,The Oversized Total Denim Look: The Styling Key with a Turtleneck Sweater #denimstyle #streetstyle,"A guide to mastering the oversized denim silhouette by using a dark base layer to create contrast and definition.

#DobleDenim #TotalLookDenim #DenimOversize #EstiloParisino #ModaOtoño #LookDeEntretiempo #SuperposicionDeCapas #ComoVestir #IdeasDeLooks #StreetStyle #DoubleDenim #DenimOnDenim #OversizedDenim #ParisianStyle #AutumnFashion #PFW #Layering #HowToStyle #OutfitInspiration #CanadianTuxedo",12757,338,6,"['moda otoño 2025', 'cómo combinar doble denim', 'total look vaquero oversize', 'sobrecamisa vaquera', 'cuello vuelto', 'estilo parisino', 'ideas de looks', 'street style pfw', 'fall fashion 2025', 'how to wear oversized double denim', 'denim shacket', 'turtleneck', 'parisian style', 'layering']",OutfitsMAG,2025-10-11T05:04:11Z,22,PT18S,hd,2025-10-12T04:03:09.750656
8,ZjAQHeEqkTk,How to style a Date Night Outfit✨Yes or no✨Shop all outfits link in bio LTK #howtodress,,8779,591,12,[],Everything Tangu,2025-10-11T14:12:35Z,26,PT57S,hd,2025-10-12T04:03:09.751038
9,p55TmHEA9AM,London-based designer Philip Vergeylen shares how to find your #interiordesign style! #homeworthy,"#style #home 
#hometour #interiordesign #homedecor",7519,393,7,"['homeworthy', 'uk', 'london', 'interior design']",Homeworthy,2025-10-11T12:01:28Z,26,PT36S,hd,2025-10-12T04:03:09.750671
10,WuBLYyi-NfA,How To Look Fantastic In Boots & Dresses 🌹,"Discover the ultimate guide on how to look fantastic in boots & dresses, showcasing street fashion that redefines style and confidence. Witness stunning OOTD looks that blend urban elegance with everyday flair, guaranteed to inspire your next outfit this fall.✨

👗 Outfit Details
• Olive Green Knit Dress & Black Knee-High Boots: A chic combination featuring an olive green short knit dress with a side slit, styled with sleek black knee-high boots. This look is elevated with a bold gold choker and matching gold drop earrings, radiating confident street style.
• Champagne Cashmere Sweater Dress & Cream Leather Thigh-High Boots: A luxurious ensemble featuring a champagne cashmere sweater dress paired with cream leather boots. This look is accented with a silver bracelet and silver stud earrings, embodying cozy-chic autumn fashion and fall style.

🏙️ Hashtags: 
#Boots #StreetFashion #StreetStyle #ShortDress #KnitDress #SweaterDress #KneeHighBoots #LeatherBoots #GreenKnitDress #CashmereDress #AutumnFashion #FallStyle #StreetPhotography #Fashion #Style #OOTD #DressAndBoots #WinterFashion #ElegantBoots #CozyChic

🔍 SEO Keywords: 
how to style boots and dresses, fantastic boots outfits, street fashion dresses, knit dress style, sweater dress looks, knee high boots fashion, leather boots outfits, green knit dress ideas, cashmere dress style, autumn fashion trends, fall style inspiration, street photography fashion, urban elegance, chic boots and dresses, outfit ideas, fashion trends, style guide, women's fashion, everyday glamour, fashion inspiration.",7287,510,38,"['Boots', 'Street Fashion', 'Street Style', 'Short Dress', 'Knit Dress', 'Sweater Dress', 'Knee High Boots', 'Leather Boots', 'Green Knit Dress', 'Cashmere Dress', 'Autumn Fashion', 'Fall Style', 'Street Photography', 'Fashion', 'Style', 'OOTD', 'Thigh High Boots', 'Dress And Boots', 'Winter Fashion', 'Elegant Boots', 'Cozy Chic', 'How To Style', 'Fashion Guide', 'Outfit Ideas', ""Women's Fashion.""]",AI Specialist for Modern Fashion Trends,2025-10-11T14:03:52Z,26,PT21S,hd,2025-10-12T04:03:09.750685
