id,video_id,title,description,views,likes,comments,hashtags,channel,published_at,category_id,duration,definition,crawl_date
1,nKRnyLixQNk,Akshay Kumar police dance 😅 gujarati song// #shortsfeed #viralvideo #viralvideo #trending #music,,2830675,13621,8,[],India dance studio,2025-10-11T06:30:08Z,22,PT16S,hd,2025-10-12T03:58:44.129722
2,jgy5RwhlI90,Happy Ganesh Chaturthi 🙏🚩 shree ganesh  bhajan song 🕉️ #yutubeshorts #trendingshorts #shorts,,2469055,19577,5,[],Vinay King VFX ,2025-10-11T09:00:03Z,22,PT20S,hd,2025-10-12T03:58:44.129751
3,CXIsWwEUoG0,ਅਲਵਿਦਾ ਬਾਈ miss u ਜੱਟਾ ♥️🥹♥️♥️🥹🥹♥️🥹♥️🥹♥️🥹 #punjabimusic #punjabisong #music #song #love,,1576215,21771,140,[],Ravi Hoyal,2025-10-11T04:06:43Z,22,PT10S,hd,2025-10-12T03:58:44.129776
4,Xi8knvh2qbU,ਵਾਹਿਗੁਰੂ ਜੀ ਕਿਰਪਾ ਕਰੋ ਬਾਈ ਦੇ ਪਰਿਵਰ ਤੇ 🥹🙏🥹🙏🥹🙏🥹🙏🥹🙏 #punjabimusic #punjabisong #music #song,,1351005,26327,230,[],Ravi Goyal1,2025-10-11T03:58:59Z,22,PT10S,hd,2025-10-12T03:58:44.129768
5,-8zDdhCwfsU,#remix #dj #song #hindisong #music #funny #insanetalent #viral #trending #shorts #video #animals,,1212876,10725,0,[],BEST TALENT ,2025-10-11T05:13:20Z,24,PT51S,hd,2025-10-12T03:58:44.129761
6,bDXnI9Cv6F4,Sprunki OH My little boy Simon x Tunner #sprunki  #sprunkiincredibox #anime #music  #gameplay #love,"Thank you for watching, please support and subscribe to me💗
Friends who need editing👭
please attach my video link or my channel link🌎thank you again💖
#sprunki #sprunkiincredibox #funny #games #anime #music  #song #edit",1089112,10955,83,[],Deep Fun QIQI,2025-10-11T14:20:39Z,22,PT16S,hd,2025-10-12T03:58:45.413338
7,gVAfyR3TzQE,market ରେ ଏବେ ଅଣ୍ଡା ଛଡା ମେସିନ || #song #music sambalpuri status video #dance#sambalpurisong#odiasong,"SUBCRIBE TO MEYOUTUBE CHENNAL♡♡ 

(@SAMBALPURIMIXX )sambalpuri danda boudh,sambalpuri danda bhajan,sambalpuri danda chandrasena,sambalpuri danda comedy,sambalpuri danda chuni,sambalpuri danda chuni bhagwati,sambalpuri danda chandal nag,sambalpuri danda chini bhartisambalpuri danda,sambalpuri danda nritya,sambalpuri danda nacha,sambalpuri danda video,sambalpuri danda chuni bagarti,sambalpuri danda mp3,sambalpuri danda challenge,sambalpuri danda status,sambalpuri danda gita,sambalpuri danda all,sambalpuri danda audio song,sambalpuri danda antakshari,sambalpuri danda all mp3,sambalpuri danda audio,sambalpuri danda all video,sambalpuri danda all song,sambalpuri danda album,a mamu go mora sambalpuri danda,sambalpuri danda bipin jal,sambalpuri danda bindu bairagi,sambalpuri danda baja,sambalpuri danda bhamara re,sambalpuri danda bandi entry,sambalpuri danda birahi radha,sambalpuri danda boudh,sambalpuri danda bhajan,sambalpuri danda chandrasena,sambalpuri danda comedy,sambalpuri danda chuni,sambalpuri danda chuni bhagwati,sambalpuri danda chandal nag,sambalpuri danda chini bhartisambalpuri danda nritya, sambalpuri danda nacha, sambalpuri danda album, a mamu go mora sambalpuri danda, sambalpuri danda bipin jal, sambalpuri danda bindu bairagi, sambalpuri danda baja, sambalpuri danda bhamara re, sambalpuri danda bandi entry,sambalpuri danda video,sambalpuri danda chuni bagarti,sambalpuri danda mp3,sambalpuri danda challenge,sambalpuri danda status,sambalpuri danda gita,sambalpuri danda all,sambalpuri danda audio song,sambalpuri danda antakshari,sambalpuri danda all mp3,sambalpuri danda audio,sambalpuri danda all video,sambalpuri danda all song,official, chuni bagarti danda song, chuni bagarti danda nritya, chuni bagarti new sambalpuri song, chuni bagarti comedy, chuni bagarti studio song,radha chuni bagarti, chuni bagarti sambalpuri song, chuni bagarti new song,chuni bagarty radha, chuni bagarti studio version,chuni bagarti sambalpuri songs, chuni bagarty new song,# chuni bagarti,",1063109,3488,3,[],SAMBALPURI MIXx,2025-10-11T10:55:01Z,24,PT8S,hd,2025-10-12T03:58:44.129978
8,GZbehG3EU3I,#bulun,"purane superhit gaane #movie #love #song #music #kavitakrishnamurthy #anumalik #abhitabhbachchan

Purane superhit hindisongs #viralshortpurane superhit gaane #film #song #short  #trendingshorts #sadabaharnagme #viralshort  #hindisongs‪@SonySAB‬ ‪@MadhuriDixitNeneOfficial‬ ‪@UltraDardBhareSongs‬ ‪@ChuChuTV‬ ‪@SETIndia‬ ‪@GaaneSuneAnsune‬ ‪@SonySAB‬@ajayatulandshreyaghoshal9714@aditya narayn@AdityaNarayangaane #music #song #love #trendingshorts #bollywood #sadabaharnagme #Purane superhit gane #bollywood #hindisong#uditnarayan #bollywoodsongs #trendingshorts #song #shorts#sadabaharnagme #sadabahaarnagme #Official  @ChuChuTV  @RealUditNarayan@anuradhapaudwal9676  @Realalkayagnik Realalkayagnik @Realalkayagnik  @anuradhapaudwal9676  @RealUditNarayan  @kumarsanu1821  @KumarSanuHitSongs1@AnupamaDeshpande-gi7sy@AdityaNarayanOfficial  @AdityaNarayanOfficial@zeemusiccompany  @ZEETVAPAC  @colorsbangla  #saregamamusic@AmitKumarOG  ‎⁨@KingKhan_edits⁩ ",656907,0,17,[],King Khan Edits,2025-10-11T15:33:50Z,24,PT14S,hd,2025-10-12T03:58:44.129869
9,QRD6QzpPlwU,ମୋ birthday କାହାର ମନେ ରହୁ ନାହି|| #song #music sambalpuri status video #dance#sambalpurisong#odiasong,"SUBCRIBE TO MEYOUTUBE CHENNAL♡♡ 

(@SAMBALPURIMIXX  )sambalpuri danda boudh,sambalpuri danda bhajan,sambalpuri danda chandrasena,sambalpuri danda comedy,sambalpuri danda chuni,sambalpuri danda chuni bhagwati,sambalpuri danda chandal nag,sambalpuri danda chini bhartisambalpuri danda,sambalpuri danda nritya,sambalpuri danda nacha,sambalpuri danda video,sambalpuri danda chuni bagarti,sambalpuri danda mp3,sambalpuri danda challenge,sambalpuri danda status,sambalpuri danda gita,sambalpuri danda all,sambalpuri danda audio song,sambalpuri danda antakshari,sambalpuri danda all mp3,sambalpuri danda audio,sambalpuri danda all video,sambalpuri danda all song,sambalpuri danda album,a mamu go mora sambalpuri danda,sambalpuri danda bipin jal,sambalpuri danda bindu bairagi,sambalpuri danda baja,sambalpuri danda bhamara re,sambalpuri danda bandi entry,sambalpuri danda birahi radha,sambalpuri danda boudh,sambalpuri danda bhajan,sambalpuri danda chandrasena,sambalpuri danda comedy,sambalpuri danda chuni,sambalpuri danda chuni bhagwati,sambalpuri danda chandal nag,sambalpuri danda chini bhartisambalpuri danda nritya, sambalpuri danda nacha, sambalpuri danda album, a mamu go mora sambalpuri danda, sambalpuri danda bipin jal, sambalpuri danda bindu bairagi, sambalpuri danda baja, sambalpuri danda bhamara re, sambalpuri danda bandi entry,sambalpuri danda video,sambalpuri danda chuni bagarti,sambalpuri danda mp3,sambalpuri danda challenge,sambalpuri danda status,sambalpuri danda gita,sambalpuri danda all,sambalpuri danda audio song,sambalpuri danda antakshari,sambalpuri danda all mp3,sambalpuri danda audio,sambalpuri danda all video,sambalpuri danda all song,official, chuni bagarti danda song, chuni bagarti danda nritya, chuni bagarti new sambalpuri song, chuni bagarti comedy, chuni bagarti studio song,radha chuni bagarti, chuni bagarti sambalpuri song, chuni bagarti new song,chuni bagarty radha, chuni bagarti studio version,chuni bagarti sambalpuri songs, chuni bagarty new song,# chuni bagarti,",652482,0,8,[],SAMBALPURI MIXx,2025-10-11T09:22:35Z,24,PT12S,hd,2025-10-12T03:58:44.129790
10,uSbH_TigGtQ,ବଣ ଭୂଜୀ କରୁଥିଲୁ ଚାମଚ ଆଣିନୁ || #song #music sambalpuri status video #dance#sambalpurisong#odiasong,"SUBCRIBE TO MEYOUTUBE CHENNAL♡♡ 

(@SAMBALPURIMIXX )sambalpuri danda boudh,sambalpuri danda bhajan,sambalpuri danda chandrasena,sambalpuri danda comedy,sambalpuri danda chuni,sambalpuri danda chuni bhagwati,sambalpuri danda chandal nag,sambalpuri danda chini bhartisambalpuri danda,sambalpuri danda nritya,sambalpuri danda nacha,sambalpuri danda video,sambalpuri danda chuni bagarti,sambalpuri danda mp3,sambalpuri danda challenge,sambalpuri danda status,sambalpuri danda gita,sambalpuri danda all,sambalpuri danda audio song,sambalpuri danda antakshari,sambalpuri danda all mp3,sambalpuri danda audio,sambalpuri danda all video,sambalpuri danda all song,sambalpuri danda album,a mamu go mora sambalpuri danda,sambalpuri danda bipin jal,sambalpuri danda bindu bairagi,sambalpuri danda baja,sambalpuri danda bhamara re,sambalpuri danda bandi entry,sambalpuri danda birahi radha,sambalpuri danda boudh,sambalpuri danda bhajan,sambalpuri danda chandrasena,sambalpuri danda comedy,sambalpuri danda chuni,sambalpuri danda chuni bhagwati,sambalpuri danda chandal nag,sambalpuri danda chini bhartisambalpuri danda nritya, sambalpuri danda nacha, sambalpuri danda album, a mamu go mora sambalpuri danda, sambalpuri danda bipin jal, sambalpuri danda bindu bairagi, sambalpuri danda baja, sambalpuri danda bhamara re, sambalpuri danda bandi entry,sambalpuri danda video,sambalpuri danda chuni bagarti,sambalpuri danda mp3,sambalpuri danda challenge,sambalpuri danda status,sambalpuri danda gita,sambalpuri danda all,sambalpuri danda audio song,sambalpuri danda antakshari,sambalpuri danda all mp3,sambalpuri danda audio,sambalpuri danda all video,sambalpuri danda all song,official, chuni bagarti danda song, chuni bagarti danda nritya, chuni bagarti new sambalpuri song, chuni bagarti comedy, chuni bagarti studio song,radha chuni bagarti, chuni bagarti sambalpuri song, chuni bagarti new song,chuni bagarty radha, chuni bagarti studio version,chuni bagarti sambalpuri songs, chuni bagarty new song,# chuni bagarti,",609958,0,3,[],SAMBALPURI MIXx,2025-10-11T06:35:05Z,24,PT9S,hd,2025-10-12T03:58:44.129804
