id,video_id,title,description,views,likes,comments,hashtags,channel,published_at,category_id,duration,definition,crawl_date
1,KAOz26epgdc,DOGE-like federal layoffs have begun amid government shutdown,"Fox News senior congressional correspondent Chad Pergram joins 'America Reports' to discuss the federal reduction in force (RIF) that former President Trump warned Democrats would face if they didn’t reopen the government — and how Democratic officials are reacting. #fox #media #breakingnews #us #usa #new #news #breaking #foxnews #americareports #chadpergram #donaldtrump #trump #federalgovernment #reductioninforce #rif #shutdown #democrats #democraticparty #democrat #republicans #gop #congress #washingtondc #washington #dc #politics #political #politicalnews #government #capitolhill #breakingstory

Become a Channel Member & unlock behind-the-scenes, bonus videos, and more! www.youtube.com/@FoxNews/join
Subscribe to Fox News: https://bit.ly/2vBUvAS
Watch more Fox News Video: http://video.foxnews.com
Watch Fox News Channel Live: http://www.foxnewsgo.com/
Download the Fox News app: https://foxnews.onelink.me/xLDS/cd5yhg3o

FOX News Channel (FNC) is a 24-hour all-encompassing news service delivering breaking news as well as political and business news. The number one network in cable, FNC has been the most-watched television news channel for 18 consecutive years. According to a 2020 Brand Keys Consumer Loyalty Engagement Index report, FOX News is the top brand in the country for morning and evening news coverage. A 2019 Suffolk University poll named FOX News as the most trusted source for television news or commentary, while a 2019 Brand Keys Emotion Engagement Analysis survey found that FOX News was the most trusted cable news brand. A 2017 Gallup/Knight Foundation survey also found that among Americans who could name an objective news source, FOX News was the top-cited outlet. Owned by FOX Corporation, FNC is available in nearly 90 million homes and dominates the cable news landscape, routinely notching the top ten programs in the genre.

Watch full episodes of your favorite shows
The Five: https://www.foxnews.com/video/shows/the-five
Special Report with Bret Baier: https://www.foxnews.com/video/shows/special-report
Jesse Watters Primetime: https://www.foxnews.com/video/shows/jesse-watters-primetime
Hannity: https://www.foxnews.com/video/shows/hannity
The Ingraham Angle: https://www.foxnews.com/video/shows/ingraham-angle
Gutfeld!: https://www.foxnews.com/video/shows/gutfeld
Fox News @ Night: https://www.foxnews.com/video/shows/fox-news-night
Follow Fox News on Facebook: https://www.facebook.com/FoxNews/
Follow Fox News on X: https://x.com/foxnews
Follow Fox News on Instagram: https://www.instagram.com/foxnews/",889808,5520,4326,"['america reports youtube', 'breaking news', 'chad pergram', 'congressional coverage', 'democratic officials', 'economy impact', 'federal layoffs', 'federal reduction in force', 'fox news channel', 'government shutdown', 'government workforce', 'media', 'trump warning', 'usa', 'washington dc']",Fox News,2025-10-11T07:15:01Z,25,PT3M2S,hd,2025-10-12T04:02:56.611632
2,VEBwt9GKlbs,नेता सब का फूल बेज्जती//😂🙏😜#modi #rahulgandhi #kejriwal #akleshyadav #funny #politics #news #shorts,नेता सब का फूल बेज्जती//😂🙏😜#modi #rahulgandhi #kejriwal #akleshyadav #funny #politics #news #shorts,656250,2021,3,"['modi ji ka funny video', 'modi ji ka funny bhashan', 'modi ji ka funny dance', 'modi ji ka funny song', 'modi ji ka funny memes', 'Kejriwal ka funny video', 'Kejriwal ka new video', 'Kejriwal ka beizzati', 'Akhilesh Yadav ka funny', 'Akhilesh Yadav ka funny comedy video', 'Aaj Tak live news', 'new samachar video', 'breaking news']", EDIT NEWS FANNY,2025-10-11T08:14:32Z,24,PT17S,hd,2025-10-12T04:02:56.611687
3,iMRuPebEs_Y,㊗️50万再生! 元官僚が福島瑞穂に放った一言でスタジオがパニックにw,"#政治  #選挙  #自民党 #自民党総裁選 #高市早苗 #社民党 #フェミニスト #shorts

当チャンネルでは、ニュース等のソースを参考に、事実に基づいた動画を制作しています。

また動画の後半では私個人の見解や、世間の反応も交えながら独自性のあるコンテンツ作りを心掛けています。

政治をより身近に感じられるよう発信しており、誹謗中傷を目的として制作したものではありません。

なお、本動画の反応の声は個々の見解によるものですので、参考程度に留めていただければ幸いです。

また、使用している映像・資料などは、あくまで引用の範囲内で活用しております。

万が一、著作権等に関して問題がございましたら、動画の削除・非公開など速やかに対応させていただきますので、お手数ですが、著作権者ご本人様より下記のメールアドレスまでご連絡いただけますと幸いです。

zubattoseiron★gmail.com
（★を＠にしてください）

VOICEVOX：青山龍星
VOICEVOX：剣崎雌雄
VOICEVOX：四国めたん
VOICEVOX：玄野武宏
VOICEVOX：もち子さん
VOICEVOX：波音リツ

引用
https://youtu.be/sT2sY8cSh6g

画像
https://www.sankei.com/article/20250414-VQJSIMG2XFJADM6JA4DB3TTZSU/
https://news.ntv.co.jp/category/politics/00e8dbfa99eb48d486ffd4355994475d
https://agora-web.jp/archives/241022091856.html
https://www.bloomberg.co.jp/news/articles/2009-09-16/KQ21Z50YHQ0X01
https://toyokeizai.net/articles/-/575348
https://journal.meti.go.jp/p/18073/
https://murakamizaidan.jp/public-leaders-academy/
https://news.yahoo.co.jp/articles/408216d9d360bfc703b715712f9ab4c53630d2e0
https://www.tokyo-np.co.jp/article/441833
https://www.jiji.com/jc/article?k=2025062800331&g=pol&p=20250628at44S&rel=pv",650128,18207,836,[],ズバッと政論!,2025-10-11T11:01:16Z,22,PT1M,hd,2025-10-12T04:02:56.611825
4,LOa03idRl48,Asaduddin Owaisi Aur Rahul Gandhi Sath 😱🫣#asaduddinowaisi #rahulgandhi #news #ytshorts #shortsfeed,"Asaduddin Owaisi Aur Rahul Gandhi Sath 😱🫣#asaduddinowaisi #rahulgandhi #news #ytshorts #shortsfeed
.
.
.
.

* Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism criticism, commenting, news reporting, teaching, scholarship, and research. fair use is a permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favour of fair use.

-This video has no negetive impact on the original works ( It would actually be positive for them ) 
-This video is also for teaching purposes.

thanks for watching this video 🙏",546833,18096,76,[],ZoroXmind,2025-10-11T12:30:33Z,22,PT20S,hd,2025-10-12T04:02:56.611784
5,fTAZHy7yjt4,pain💔! #newspinch #bihar #abhinavpandey #fearless,"Bihar Elections 2025: As the dates of the Bihar Assembly elections are out. Team News Pinch reached at Patna Junction to know the views of the Public on Bihar Politics. Supporters of PM Modi, BJP, Nitish Kumar, Tejaswi Yadav, Prashant Kishor, and many more interacted to share their crazy views. 

The youth of Bihar expressed their concerns about the lack of employment opportunities and the poor state of government services throughout the state. People spoke about 'Jungleraaj' RJD days in comparison to Nitish Kumar's rule in Bihar.  Liquor Ban, Education, Roads, students, and plenty of such issues right from Patna Junction for you in this first Public Opinion Video, after the dates of Bihar Election 2025 are out. 

Watch the full Report & Share your views in the comment section 
#BiharElection2025 #NewsPinch #PatnaNews #RJD #TejashwiYadav #NiatishKumar #PMModi #BJP #News #BiharPolitics #BiharNews #JanSuraaj #PrashantKishor
#AbhinavPandey #SaurabhTripathi #NewsPinch #News #India #UttarPradesh #Politics #Entertainment #SocialMedia #TechNews #AI #Journalism #Student #Media",543071,14967,221,[],khabristan,2025-10-11T09:37:31Z,22,PT33S,hd,2025-10-12T04:02:56.611692
6,SJVXVrtA4dI,Struggle of every Girl 🥺💔 @TheNewsPinch #newspinch #bihar,"Struggle of every Girl 🥺💔 @TheNewsPinch  #newspinch #bihar #newspinch #bihar #kisan #newspinch #politics #bihar #newspinch #abhinavpandey #newspinch #politics#newspinch #bihar #bihari #politics #indianpolitics #sad #BiharElection #NewsPinch #AbhinavPandey #SaurabhTripathi #NewsPinch #News #India #UttarPradesh #Politics #Entertainment #SocialMedia #TechNews #AI #Journalism #Student #media

BreakingNews, TrendingStories,ViralUpdates,CurrentAffairs,WorldEvents,IndiaToday,PoliticsNews,Economy,SportsUpdate,EntertainmentNews,TechTrends,LifestyleBuzz,News,Breaking,Updates,Facts,Stories,Viral,Trending,Politics,Economy,Sports,Entertainment,Lifestyle,Tech,Digital

#DailyNews #TodayHeadlines #IndiaUpdates #WorldUpdates #SamacharToday #BreakingNow #NewsOfTheDay #LiveUpdates #TrendingIndia #HotTopic #KhabarNow #BuzzNews #FactNews #GlobalHeadlines #JantaKiAwaaz #YouthNews
#IndiaNews #DeshKiBaat #Samachar #BharatUpdates #IndiaToday #JantaKiAwaaz #IndianHeadlines",430630,10165,83,[],Pinchpoint,2025-10-11T12:04:18Z,22,PT38S,hd,2025-10-12T04:02:56.611698
7,SJVXVrtA4dI,Struggle of every Girl 🥺💔 @TheNewsPinch #newspinch #bihar,"Struggle of every Girl 🥺💔 @TheNewsPinch  #newspinch #bihar #newspinch #bihar #kisan #newspinch #politics #bihar #newspinch #abhinavpandey #newspinch #politics#newspinch #bihar #bihari #politics #indianpolitics #sad #BiharElection #NewsPinch #AbhinavPandey #SaurabhTripathi #NewsPinch #News #India #UttarPradesh #Politics #Entertainment #SocialMedia #TechNews #AI #Journalism #Student #media

BreakingNews, TrendingStories,ViralUpdates,CurrentAffairs,WorldEvents,IndiaToday,PoliticsNews,Economy,SportsUpdate,EntertainmentNews,TechTrends,LifestyleBuzz,News,Breaking,Updates,Facts,Stories,Viral,Trending,Politics,Economy,Sports,Entertainment,Lifestyle,Tech,Digital

#DailyNews #TodayHeadlines #IndiaUpdates #WorldUpdates #SamacharToday #BreakingNow #NewsOfTheDay #LiveUpdates #TrendingIndia #HotTopic #KhabarNow #BuzzNews #FactNews #GlobalHeadlines #JantaKiAwaaz #YouthNews
#IndiaNews #DeshKiBaat #Samachar #BharatUpdates #IndiaToday #JantaKiAwaaz #IndianHeadlines",430630,10167,83,[],Pinchpoint,2025-10-11T12:04:18Z,22,PT38S,hd,2025-10-12T04:03:05.758019
8,xsmE3orLR9U,चुनाव आयोग आया तो मोदी _नीतीश पैसा बाट रहे हैं .!#modi_newspmmodi #modimems #modiji #modi_news,"चुनाव आयोग आया तो मोदी _नीतीश पैसा बाट रहे हैं .!#modi_newspmmodi #modimems #modiji #modi_news#short #modi #politics #trending #bjp #fun ‪@harshpushptode5422‬ 


#modicomedy #narendramodi #viralvideo #shortvideo #edit_nandan_comedy #election #electionnews #akhileshyadav #laluyadav #rjd #bihar #biharelection #electionnews #elections2024 #indianpolitician #modimems #indianprimeminister #jokes #pmmodi #pm #congress #memes


#nerendramodi 
#politics 
#indianpolitics 
#Indian prime minister
#pmmodi
#funny 
#viralvideo  
#shortvideo
#Modimemes
#jokes #प्रधानमंत्री नरेंद्र मोदी #प्रधानमंत्री योजनाएं #प्रधानमंत्री आवास 


Your Query 
modi ji ka shorts video
modi ji ka comedi bhashan
modi ji ka comedi bhashan new
modi ji ka comedi
modi ji ka funny video
modi ji ka shorts viral video
modi ji ka funny shorts video
modi g ke new shorts video
modi ji ka funny bhashan
shorts video modi g ke
politics video
politics viral video
politics video new
politics viral short video
parliament ka funny video
parliament ka funny short video
shorts video
shorts
short video
short
funny video
funny
YouTube Tag
YouTube Tag Extractor
YouTube Tag
YouTubeVideo
Video Tag Extractor
BJP comedy news
Trending politics video
Funny politics video
Comedy politics video
Modi ji ke comedy bhashan
Modi ji ke comedy speech
Modi ji ke new bhashan
Modi ji ke parliament ke video
Modi ji ke sansad bhavan ka video
Modi ji ke new video
Narendra Modi ke politics comedy video
Narendra Modi ke politics comedy speech
Narendra Modi ke video
PM Modi ke politics comedy video",412230,0,14,['चुनाव आयोग आया तो मोदी _नीतीश पैसा बाट रहे हैं .!#modi_newspmmodi #modimems #modiji #modi_news'],Edit_satya_comedy,2025-10-11T07:30:00Z,22,PT9S,hd,2025-10-12T04:02:56.611739
9,7jzZXYb1eOk,"Fox News Highlights - October 10th, 2025","Laura Ingraham, Jesse Watters and Greg Gutfeld bring Fox News viewers their fresh takes on the top news of the day. #foxnews #news #us #fox #media #breakingnews #usa #breaking #foxnews #lauraingraham #jessewatters #greggutfeld #theingrahamangle #jessewattersprimetime #gutfeld #highlights #topstories #commentary #analysis #politics #political #politicalnews #government #currentevents #newsupdate #broadcast #washingtondc #washington #dc #montage #mashup #highlights #recap 

Subscribe to Fox News: https://bit.ly/2vBUvAS
Watch more Fox News Video: http://video.foxnews.com
Watch Fox News Channel Live: http://www.foxnewsgo.com/
Download the Fox News app: https://foxnews.onelink.me/xLDS/cd5yhg3o
Become a Fox News Patriot member! www.youtube.com/@FoxNews/join

FOX News Channel (FNC) is a 24-hour all-encompassing news service delivering breaking news as well as political and business news. The number one network in cable, FNC has been the most-watched television news channel for 18 consecutive years. According to a 2020 Brand Keys Consumer Loyalty Engagement Index report, FOX News is the top brand in the country for morning and evening news coverage. A 2019 Suffolk University poll named FOX News as the most trusted source for television news or commentary, while a 2019 Brand Keys Emotion Engagement Analysis survey found that FOX News was the most trusted cable news brand. A 2017 Gallup/Knight Foundation survey also found that among Americans who could name an objective news source, FOX News was the top-cited outlet. Owned by FOX Corporation, FNC is available in nearly 90 million homes and dominates the cable news landscape, routinely notching the top ten programs in the genre.

Watch full episodes of your favorite shows
The Five: https://www.foxnews.com/video/shows/the-five
Special Report with Bret Baier: https://www.foxnews.com/video/shows/special-report
Jesse Watters Primetime: https://www.foxnews.com/video/shows/jesse-watters-primetime
Hannity: https://www.foxnews.com/video/shows/hannity
The Ingraham Angle: https://www.foxnews.com/video/shows/ingraham-angle
Gutfeld!: https://www.foxnews.com/video/shows/gutfeld
Fox News @ Night: https://www.foxnews.com/video/shows/fox-news-night

Follow Fox News on Facebook: https://www.facebook.com/FoxNews/
Follow Fox News on X: https://x.com/foxnews
Follow Fox News on Instagram: https://www.instagram.com/foxnews/",363781,5863,690,"['Fox News Channel', 'FNC', 'Fox News', 'News', 'Media', 'media', 'breaking news', 'usa', 'fox news channel', 'fox news highlights', 'laura ingraham segment', 'jesse watters commentary', 'greg gutfeld analysis', 'daily news roundup', 'political discussion', 'current events', 'top stories', 'network highlights', 'fox primetime shows', 'government and politics', 'news coverage']",Fox News,2025-10-11T08:00:17Z,25,PT31M,hd,2025-10-12T04:02:56.611674
10,e_-KpDC6eyI,Nobel Peace Prize winner dedicates victory to Trump: 'He deserved it',"2025 Nobel Peace Prize laureate Maria Corina Machado discusses President Donald Trump’s efforts to restore democracy in Venezuela on ‘Fox & Friends Weekend.’   #fox #media #breakingnews #us #usa #new #news #breaking #foxnews #foxandfriendsweekend #trump #donaldtrump #nobelpeaceprize #mariacorinamachado #venezuela #democracy #freedom #humanrights #international #global #foreignpolicy #leadership #peace #politics #political #politicalnews #government 

Become a Channel Member & unlock behind-the-scenes, bonus videos, and more! www.youtube.com/@FoxNews/join
Subscribe to Fox News: https://bit.ly/2vBUvAS
Watch more Fox News Video: http://video.foxnews.com
Watch Fox News Channel Live: http://www.foxnewsgo.com/
Download the Fox News app: https://foxnews.onelink.me/xLDS/cd5yhg3o

FOX News Channel (FNC) is a 24-hour all-encompassing news service delivering breaking news as well as political and business news. The number one network in cable, FNC has been the most-watched television news channel for 18 consecutive years. According to a 2020 Brand Keys Consumer Loyalty Engagement Index report, FOX News is the top brand in the country for morning and evening news coverage. A 2019 Suffolk University poll named FOX News as the most trusted source for television news or commentary, while a 2019 Brand Keys Emotion Engagement Analysis survey found that FOX News was the most trusted cable news brand. A 2017 Gallup/Knight Foundation survey also found that among Americans who could name an objective news source, FOX News was the top-cited outlet. Owned by FOX Corporation, FNC is available in nearly 90 million homes and dominates the cable news landscape, routinely notching the top ten programs in the genre.

Watch full episodes of your favorite shows
The Five: https://www.foxnews.com/video/shows/the-five
Special Report with Bret Baier: https://www.foxnews.com/video/shows/special-report
Jesse Watters Primetime: https://www.foxnews.com/video/shows/jesse-watters-primetime
Hannity: https://www.foxnews.com/video/shows/hannity
The Ingraham Angle: https://www.foxnews.com/video/shows/ingraham-angle
Gutfeld!: https://www.foxnews.com/video/shows/gutfeld
Fox News @ Night: https://www.foxnews.com/video/shows/fox-news-night

Follow Fox News on Facebook: https://www.facebook.com/FoxNews/
Follow Fox News on X: https://x.com/foxnews
Follow Fox News on Instagram: https://www.instagram.com/foxnews/",358360,10851,3101,"['media', 'breaking news', 'usa', 'fox news channel', 'fox and friends weekend youtube', 'maria corina machado interview', 'nobel peace prize 2025', 'donald trump recognition', 'venezuela democracy', 'foreign policy success', 'international relations', 'global leadership', 'human rights advocacy', 'washington dc politics', 'latin america news', 'presidential diplomacy', 'peace and freedom']",Fox News,2025-10-11T16:30:18Z,25,PT6M2S,hd,2025-10-12T04:02:56.611681
