id,video_id,title,description,views,likes,comments,hashtags,channel,published_at,category_id,duration,definition,crawl_date
1,ErDhR_gKsCg,Top Learning Tools 🥰 for Tech Enthusiasts 876#shorts #shortsfeed #viralshorts,"Top Learning Tools 🥰 for Tech Enthusiasts 
#shorts #shortsfeed #viralshorts
Unlock the Power of Smart Learning with Advanced Gadgets! Take your learning journey to the next level with innovative tools that inspire creativity, productivity, and interactive engagement.
Whether you're a professional exploring new skills or a family discovering creative ways to learn together, this video showcases a curated list of must-have educational gadgets. These gadgets are not just for kids-they're for anyone who values creative problem-solving, critical thinking, and hands-on innovation. Perfect for learners of all ages, they'll transform how you approach learning and productivity! What's in This Video? Top STEM Tools for Curious Minds Explore gadgets that make science, technology, engineering, and math fun and engaging. Perfect for beginners and experts alike! Interactive Learning Gadgets Gamify your learning experience with tools that make it productive and enjoyable, whether you're working solo or with family. Creative Solutions for Innovators.
Unleash your imagination with hands-on gadgets designed for creative exploration and skill-buiLivingston Family-Oriented Learning Devices. Spend meaningful time together as a family with tools that make home learning effective and fun. Why You Should Watch This Video: For Creative Learners:
• Discover gadgets that enhance imagination and critical thinking. For Productivity Enthusiasts:
• Find tools that boost focus and efficiency in your daily tasks. For Families & Professionals:
• Whether you're a parent, student, or educator, these gadgets offer solutions for smarter living and learning. Key Benefits of These Gadgets: Make learning engaging and practical. Build essential
skills for the future. Inspire creativity across all age groups. If you're looking to improve how you learn, create, and grow, these tools will help you
unlock your potential and spark curiosity! Don't Miss Out! LIKE this video to show your support.
COMMENT and share your thoughts or favorite tools! SUBSCRIBE for more inspiring content.
Let's make learning smarter, more innovative, and above all-fun! Hashtags: #Educational Gadgets #LearningInnovation #TechForGrowth
#Interactive Tools #CreativeSolutions #FamilyTech #STEMLearning #EdTechTools #HomeEducation #SkillBuilding #InnovativeLearning #ProductiveLiving #SmartTools #2024Tech..,,_'""':.....",2335242,0,8,[],Comedy rkeng,2025-10-11T04:25:18Z,22,PT19S,hd,2025-10-12T04:03:12.618674
2,9u9GJc00BSg,Top Learning Tools for Tech Enthusiasts #shorts #shortsfeed #viralshorts 💥🍓,"Top Learning Tools for Tech Enthusiasts #shorts #shortsfeed #viralshorts 💥🍓

Unlock the Power of Smart Learning with Advanced Gadgets!🌟🎸 Take your learning journey to the next level with innovative tools that inspire creativity, productivity, and interactive engagement. 🚀 Whether you're a professional exploring new skills or a family discovering creative ways to learn together, this video showcases a curated list of must-have educational gadgets. These gadgets are not just for kids-they're for anyone who values creative problem-solving, critical thinking, and hands-on innovation. Perfect for learners of all ages, they'll transform how you approach learning and productivity! What's in This Video? 🔍 Top STEM Tools for Curious Minds • Explore gadgets that make science, technology, engineering, and math fun and engaging. Perfect for beginners and experts alike! 🎮 Interactive Learning Gadgets • Gamify your learning experience with tools that make it productive and enjoyable, whether you're working solo or with family. 💡 Creative Solutions for Innovators. Unleash your imagination with hands-on gadgets designed for creative exploration and skill-building. 💑Family-Oriented Learning Devices •
Spend meaningful time together as a family with tools that make home learning effective and fun. Why You Should Watch This Video:✨ For Creative Learners: •
Discover gadgets that enhance imagination and critical
thinking. ✨ For Productivity Enthusiasts: • Find tools that boost focus and efficiency in your daily tasks. ✨ For Families & Professionals: • Whether you're a parent, student, or educator, these gadgets offer solutions for smarter living and learning. Key Benefits of These Gadgets: 🎯 Make learning engaging and practical. 🎯
Build essential skills for the future. 🎯 Inspire creativity across all age groups. If you're looking to improve how you learn, create, and grow, these tools will help you unlock your potential and spark curiosity! 🌈 Don't Miss Out! 💥 LIKE this video to show your support. 💥
COMMENT and share your thoughts or favorite tools!
💥 SUBSCRIBE for more inspiring content. Let's make
learning smarter, more innovative, and above all-fun! 🌟
Hashtags: #Educational Gadgets #LearningInnovation
#TechForGrowth #Interactive Tools #CreativeSolutions #FamilyTech #STEMLearning #EdTechTools #HomeEducation #Skill Building #InnovativeLearning
#ProductiveLiving #SmartTools #2024Tech

Disclaimer :- This video is for fair use and entertainment only for the purpose of. Extreme care has been taken to follow all the prevailing policies on community guidelines. No child is harmed in any way in this video. We only use colors, no fake blood or real blood is used anywhere. We have followed YouTube's community guidelines. The video is only for entertainment and not meant to harm anyone. No harm of any kind is meant to the children. It is only for entertainment purposes.",1810360,0,1,[],MJTRENDFUN,2025-10-11T09:15:00Z,24,PT6S,hd,2025-10-12T04:03:12.618703
3,QOBCyki5IFs,#generalknowledge #fact #technology #science #machine #marathiculture#maharashtra#marathisciencewala,,494470,2686,4,[],Marathi science wala ,2025-10-11T06:26:11Z,22,PT18S,hd,2025-10-12T04:03:12.618715
4,gkOP9yKYQv8,Top Learning Tools for Tech Enthusiasts #shorts #shortsfeed #viralshorts,"Top Learning Tools for Tech Enthusiasts #shorts #shortsfeed #viralshorts

Unlock the Power of Smart Learning with Advanced Gadgets | Take your learning journey to the next level with innovative tools that inspire creativity, productivity, and interactive engagement. Whether you’re a professional exploring new skills or a family discovering creative ways to learn together, this video showcases a curated list of must-have educational gadgets.

These gadgets are not just for kids — they’re for anyone who values creative problem-solving, critical thinking, and hands-on innovation. Perfect for learners of all ages, they transform how you approach learning and productivity!

What’s in this video?
✨ Top STEM Tools for Curious Minds – Explore gadgets that make science, technology, engineering, and math fun and engaging. Perfect for beginners and experts alike.
✨ Interactive Learning Gadgets – Gamify your learning experience with tools that make it productive and enjoyable, whether you’re working solo or with family.
✨ Creative Solutions for Innovators – Unleash your imagination with hands-on gadgets designed for creative exploration and skill-building.
✨ Family-Oriented Learning Devices – Spend meaningful time together as a family with tools that make home learning effective and fun.

Why You Should Watch This Video:
✔ For Creative Learners: Discover gadgets that enhance imagination and critical thinking.
✔ For Productivity Enthusiasts: Find tools that boost focus and efficiency in your daily tasks.
✔ For Families & Professionals: Whether you’re a parent, student, or educator, these gadgets offer solutions for smarter living and learning.

Key Benefits of These Gadgets:
🔹 Make learning engaging and practical.
🔹 Build essential skills for the future.
🔹 Inspire creativity across all age groups.

If you’re looking to improve how you learn, create, and grow, these tools will help you unlock your potential and spark curiosity.

✨ Don’t Miss Out!
👍 LIKE this video to show your support.
💬 COMMENT for more inspiring content.
📌 SUBSCRIBE and share your thoughts or favorite tools!

Let’s make learning smarter, more innovative, and above all – fun.

Hashtags:
#EducationalGadgets #LearningInnovation #TechForGrowth #InteractiveTools #CreativeSolutions #FamilyTech #STEMLearning #EdTechTools #HomeEducation #SkillBuilding #InnovativeLearning #ProductiveLiving #SmartTools #2024Tech #माँकाआशीर्वाद",399929,0,70,"['funny', 'funny cat videos', 'funny shorts', 'funny songs', 'funny videos', 'love', 'love keisha', 'love keyshia cole lirik', 'love lyric', 'love lyrics', 'love me', 'love songs', 'love story', 'mr', 'mr bean', 'mrballen', 'mrbeast', 'short video', 'shorts', 'shorts dance', 'shorts funny', 'shorts shorts', 'shorts songs', 'shorts tiktok', 'shorts youtube', 'trending', 'trending dances', 'trending shorts', 'trending songs', 'trending videos', 'viral', 'viral dance', 'viral podcast', 'viral songs', 'viral videos']",माँका आशीर्वाद 2.O,2025-10-11T10:01:11Z,22,PT2M10S,hd,2025-10-12T04:03:12.618745
5,pL0uFbLlluY,Top Learning Tools for🥰 Tech Enthusiasts #shorts#shortsfeed #viralshorts 🎉 648,"Top Learning Tools for🥰 Tech Enthusiasts #shorts​
#shortsfeed​ #viralshorts​ 🎉 648

Unlock the Power of Smart Learning with Advanced Gadgets! Take your learning journey to the next level with innovative tools that inspire creativity, productivity, and interactive engagement.
Whether you're a professional exploring new skills or a family discovering creative ways to learn together, this video showcases a curated list of must-have educational gadgets. These gadgets are not just for kids-they're for anyone who values creative problem-solving, critical thinking, and hands-on innovation. Perfect for learners of all ages, they'll transform how you approach learning and productivity! What's in This Video? Top STEM Tools for Curious Minds Explore gadgets that make science, technology, engineering, and math fun and engaging.

Perfect for beginners and experts alike! Interactive Learning Gadgets Gamify your learning experience with tools that make it productive and enjoyable, whether you're working solo or with family. Creative Solutions for Innovators.

Unleash your imagination with hands-on gadgets designed for creative exploration and skill-building.
Family-Oriented Learning Devices. Spend meaningful time together as a family with tools that make home learning effective and fun. Why You Should Watch This Video: For Creative Learners:

Discover gadgets that enhance imagination and critical thinking. For Productivity Enthusiasts:
Find tools that boost focus and efficiency in your daily tasks. For Families & Professionals: Whether you're a parent, student, or educator, these
gadgets offer solutions for smarter living and learning. Key Benefits of These Gadgets: Make learning

engaging and practical. Build essential skills for the future. Inspire creativity across all age groups. If you're looking to improve how you learn, create, and grow, these tools will help you unlock your potential and spark curiosity! Don't Miss Out! LIKE this video to show your support.
COMMENT and share your thoughts or favorite tools! SUBSCRIBE for more inspiring content.

Let's make learning smarter, more innovative, and above all-fun! Hashtags: #Educational​ Gadgets
#LearningInnovation​ #TechForGrowth​
#Interactive​ Tools #CreativeSolutions​ #FamilyTech​ #STEMLearning​ #EdTechTools​ #HomeEducation​ #SkillBuilding​ #Innovative​ Learning #Productive​ Living #SmartTools​ #2024Tech​ ",357990,1365,0,[],TB Saheb,2025-10-11T04:49:15Z,24,PT13S,hd,2025-10-12T04:03:12.618726
6,PsUc-GtM-jc,Top Learning Tools for Tech Enthusiasts #shorts #shortsfeed #viralshorts 🍓,"Top Learning Tools for Tech Enthusiasts #shorts #shortsfeed #viralshorts 🍓

Unlock the Power of Smart Learning with Advanced Gadgets! 🌟🎓 Take your learning journey to the next level with innovative tools that inspire creativity, productivity, and interactive engagement. 🚀 Whether you’re a professional exploring new skills or a family discovering creative ways to learn together, this video showcases a curated list of must-have educational gadgets. These gadgets are not just for kids—they’re for anyone who values creative problem-solving, critical thinking, and hands-on innovation. Perfect for learners of all ages, they’ll transform how you approach learning and productivity! What’s in This Video? 🔍 Top STEM Tools for Curious Minds • Explore gadgets that make science, technology, engineering, and math fun and engaging. Perfect for beginners and experts alike! 🎮 Interactive Learning Gadgets • Gamify your learning experience with tools that make it productive and enjoyable, whether you’re working solo or with family. 💡 Creative Solutions for Innovators • Unleash your imagination with hands-on gadgets designed for creative exploration and skill-building. 👨‍👩‍👧‍👦 Family-Oriented Learning Devices • Spend meaningful time together as a family with tools that make home learning effective and fun. Why You Should Watch This Video: ✨ For Creative Learners: • Discover gadgets that enhance imagination and critical thinking. ✨ For Productivity Enthusiasts: • Find tools that boost focus and efficiency in your daily tasks. ✨ For Families & Professionals: • Whether you’re a parent, student, or educator, these gadgets offer solutions for smarter living and learning. Key Benefits of These Gadgets: 🎯 Make learning engaging and practical. 🎯 Build essential skills for the future. 🎯 Inspire creativity across all age groups. If you’re looking to improve how you learn, create, and grow, these tools will help you unlock your potential and spark curiosity! 🌈 Don’t Miss Out! 💥 LIKE this video to show your support. 💥 COMMENT and share your thoughts or favorite tools! 💥 SUBSCRIBE for more inspiring content. Let’s make learning smarter, more innovative, and above all—fun! 🌟 Hashtags: #EducationalGadgets #LearningInnovation #TechForGrowth #InteractiveTools #CreativeSolutions #FamilyTech #STEMLearning #EdTechTools #HomeEducation #SkillBuilding #InnovativeLearning #ProductiveLiving #SmartTools #2024Tech",207009,0,0,[],The Comment Club,2025-10-11T04:44:13Z,22,PT8S,hd,2025-10-12T04:03:12.618736
7,SJCz7R1Zvy0,Top Learning Tools for Tech Enthusiasts #shorts #shortsfeed #viralshorts 💥🍓,"Top Learning Tools for Tech Enthusiasts #shorts #shortsfeed #viralshorts 💥🍓

Unlock the Power of Smart Learning with Advanced Gadgets!🌟🎸 Take your learning journey to the next level with innovative tools that inspire creativity, productivity, and interactive engagement. 🚀 Whether you're a professional exploring new skills or a family discovering creative ways to learn together, this video showcases a curated list of must-have educational gadgets. These gadgets are not just for kids-they're for anyone who values creative problem-solving, critical thinking, and hands-on innovation. Perfect for learners of all ages, they'll transform how you approach learning and productivity! What's in This Video? 🔍 Top STEM Tools for Curious Minds • Explore gadgets that make science, technology, engineering, and math fun and engaging. Perfect for beginners and experts alike! 🎮 Interactive Learning Gadgets • Gamify your learning experience with tools that make it productive and enjoyable, whether you're working solo or with family. 💡 Creative Solutions for Innovators. Unleash your imagination with hands-on gadgets designed for creative exploration and skill-building. 💑Family-Oriented Learning Devices •
Spend meaningful time together as a family with tools that make home learning effective and fun. Why You Should Watch This Video:✨ For Creative Learners: •
Discover gadgets that enhance imagination and critical
thinking. ✨ For Productivity Enthusiasts: • Find tools that boost focus and efficiency in your daily tasks. ✨ For Families & Professionals: • Whether you're a parent, student, or educator, these gadgets offer solutions for smarter living and learning. Key Benefits of These Gadgets: 🎯 Make learning engaging and practical. 🎯
Build essential skills for the future. 🎯 Inspire creativity across all age groups. If you're looking to improve how you learn, create, and grow, these tools will help you unlock your potential and spark curiosity! 🌈 Don't Miss Out! 💥 LIKE this video to show your support. 💥
COMMENT and share your thoughts or favorite tools!
💥 SUBSCRIBE for more inspiring content. Let's make
learning smarter, more innovative, and above all-fun! 🌟
Hashtags: #Educational Gadgets #LearningInnovation
#TechForGrowth #Interactive Tools #CreativeSolutions #FamilyTech #STEMLearning #EdTechTools #HomeEducation #Skill Building #InnovativeLearning
#ProductiveLiving #SmartTools #2024Tech

Disclaimer :- This video is for fair use and entertainment only for the purpose of. Extreme care has been taken to follow all the prevailing policies on community guidelines. No child is harmed in any way in this video. We only use colors, no fake blood or real blood is used anywhere. We have followed YouTube's community guidelines. The video is only for entertainment and not meant to harm anyone. No harm of any kind is meant to the children. It is only for entertainment purposes.",186100,0,0,[],MJTRENDFUN,2025-10-11T04:48:21Z,24,PT5S,hd,2025-10-12T04:03:12.618763
8,7klsT-xsfX4,Top Learning Tools for Tech Enthusiasts #shorts #shortsfeed #viralshorts 😅,"Top Learning Tools for Tech Enthusiasts #shorts #shortsfeed #viralshorts 😅

video credit:-@riyanofficialmk       
 
Unlock the Power of Smart Learning with Advanced Gadgets! 🌟🎓 Take your learning journey to the next level with innovative tools that inspire creativity, productivity, and interactive engagement. 🚀 Whether you’re a professional exploring new skills or a family discovering creative ways to learn together, this video showcases a curated list of must-have educational gadgets. These gadgets are not just for kids—they’re for anyone who values creative problem-solving, critical thinking, and hands-on innovation. Perfect for learners of all ages, they’ll transform how you approach learning and productivity! What’s in This Video? 🔍 Top STEM Tools for Curious Minds • Explore gadgets that make science, technology, engineering, and math fun and engaging. Perfect for beginners and experts alike! 🎮 Interactive Learning Gadgets • Gamify your learning experience with tools that make it productive and enjoyable, whether you’re working solo or with family. 💡 Creative Solutions for Innovators • Unleash your imagination with hands-on gadgets designed for creative exploration and skill-building. 👨‍👩‍👧‍👦 Family-Oriented Learning Devices • Spend meaningful time together as a family with tools that make home learning effective and fun. Why You Should Watch This Video: ✨ For Creative Learners: • Discover gadgets that enhance imagination and critical thinking. ✨ For Productivity Enthusiasts: • Find tools that boost focus and efficiency in your daily tasks. ✨ For Families & Professionals: • Whether you’re a parent, student, or educator, these gadgets offer solutions for smarter living and learning. Key Benefits of These Gadgets: 🎯 Make learning engaging and practical. 🎯 Build essential skills for the future. 🎯 Inspire creativity across all age groups. If you’re looking to improve how you learn, create, and grow, these tools will help you unlock your potential and spark curiosity! 🌈 Don’t Miss Out! 💥 LIKE this video to show your support. 💥 COMMENT and share your thoughts or favorite tools! 💥 SUBSCRIBE for more inspiring content. Let’s make learning smarter, more innovative, and above all—fun! 🌟 Hashtags: #EducationalGadgets #LearningInnovation #TechForGrowth #InteractiveTools #CreativeSolutions #FamilyTech #STEMLearning #EdTechTools #HomeEducation #SkillBuilding #InnovativeLearning #ProductiveLiving #SmartTools #2024Tech",139309,0,0,['11:03'],NO FILTER LOG ,2025-10-11T05:33:01Z,24,PT9S,hd,2025-10-12T04:03:12.618755
9,IOWH95m94mo,Top Learning Tools for Tech Enthusiasts #shorts #shortsfeed #viralshorts 💥🍓,"Top Learning Tools for Tech Enthusiasts #shorts #shortsfeed #viralshorts 💥🍓

Unlock the Power of Smart Learning with Advanced Gadgets!🌟🎸 Take your learning journey to the next level with innovative tools that inspire creativity, productivity, and interactive engagement. 🚀 Whether you're a professional exploring new skills or a family discovering creative ways to learn together, this video showcases a curated list of must-have educational gadgets. These gadgets are not just for kids-they're for anyone who values creative problem-solving, critical thinking, and hands-on innovation. Perfect for learners of all ages, they'll transform how you approach learning and productivity! What's in This Video? 🔍 Top STEM Tools for Curious Minds • Explore gadgets that make science, technology, engineering, and math fun and engaging. Perfect for beginners and experts alike! 🎮 Interactive Learning Gadgets • Gamify your learning experience with tools that make it productive and enjoyable, whether you're working solo or with family. 💡 Creative Solutions for Innovators. Unleash your imagination with hands-on gadgets designed for creative exploration and skill-building. 💑Family-Oriented Learning Devices •
Spend meaningful time together as a family with tools that make home learning effective and fun. Why You Should Watch This Video:✨ For Creative Learners: •
Discover gadgets that enhance imagination and critical
thinking. ✨ For Productivity Enthusiasts: • Find tools that boost focus and efficiency in your daily tasks. ✨ For Families & Professionals: • Whether you're a parent, student, or educator, these gadgets offer solutions for smarter living and learning. Key Benefits of These Gadgets: 🎯 Make learning engaging and practical. 🎯
Build essential skills for the future. 🎯 Inspire creativity across all age groups. If you're looking to improve how you learn, create, and grow, these tools will help you unlock your potential and spark curiosity! 🌈 Don't Miss Out! 💥 LIKE this video to show your support. 💥
COMMENT and share your thoughts or favorite tools!
💥 SUBSCRIBE for more inspiring content. Let's make
learning smarter, more innovative, and above all-fun! 🌟
Hashtags: #Educational Gadgets #LearningInnovation
#TechForGrowth #Interactive Tools #CreativeSolutions #FamilyTech #STEMLearning #EdTechTools #HomeEducation #Skill Building #InnovativeLearning
#ProductiveLiving #SmartTools #2024Tech

Disclaimer :- This video is for fair use and entertainment only for the purpose of. Extreme care has been taken to follow all the prevailing policies on community guidelines. No child is harmed in any way in this video. We only use colors, no fake blood or real blood is used anywhere. We have followed YouTube's community guidelines. The video is only for entertainment and not meant to harm anyone. No harm of any kind is meant to the children. It is only for entertainment purposes.",90165,0,1,[],MJTRENDFUN,2025-10-11T11:15:02Z,24,PT16S,hd,2025-10-12T04:03:12.618773
10,VYWLOa8u2Fk,Top Learning Tools🙏 🥰 for Tech Enthusiasts #shorts​​​​​​​​#shortsfeed​​​​​​​​​​​​​​​​​​ #viralshorts,"Top Learning Tools🙏 🥰 for Tech Enthusiasts 
#shorts​​​​​​​​​​​​​​​​​​ #shortsfeed​​​​​​​​​​​​​​​​​​ #viralshorts​​​​​​​​​​​​​​​​​​
Unlock the Power of Smart Learning with Advanced Gadgets! Take your learning journey to the next level with innovative tools that inspire creativity, productivity, and interactive engagement.
Whether you're a professional exploring new skills or a family discovering creative ways to learn together, this video showcases a curated list of must-have educational gadgets. These gadgets are not just for kids-they're for anyone who values creative problem-solving, critical thinking, and hands-on innovation. Perfect for learners of all ages, they'll transform how you approach learning and productivity! What's in This Video? Top STEM Tools for Curious Minds Explore gadgets that make science, technology, engineering, and math fun and engaging. Perfect for beginners and experts alike! Interactive Learning Gadgets Gamify your learning experience with tools that make it productive and enjoyable, whether you're working solo or with family. Creative Solutions for Innovators.
Unleash your imagination with hands-on gadgets designed for creative exploration and skill-building.
Family-Oriented Learning Devices. Spend meaningful time together as a family with tools that make home learning effective and fun. Why You Should Watch This Video: For Creative Learners:
• Discover gadgets that enhance imagination and critical thinking. For Productivity Enthusiasts:
• Find tools that boost focus and efficiency in your daily tasks. For Families & Professionals:
• Whether you're a parent, student, or educator, these gadgets offer solutions for smarter living and learning. Key Benefits of These Gadgets: Make learning engaging and practical. Build essential
skills for the future. Inspire creativity across all age groups. If you're looking to improve how you learn, create, and grow, these tools will help you
unlock your potential and spark curiosity! Don't Miss Out! LIKE this video to show your support.
COMMENT and share your thoughts or favorite tools! SUBSCRIBE for more inspiring content.
Let's make learning smarter, more innovative, and above all-fun! Hashtags: #Educational​​​​​​​​​​​​​​​​​​ Gadgets #LearningInnovation​​​​​​​​​​​​​​​​​​ #TechForGrowth​​​​​​​​​​​​​​​​​​
#Interactive​​​​​​​​​​​​​​​​​​ Tools #CreativeSolutions​​​​​​​​​​​​​​​​​​ #FamilyTech​​​​​​​​​​​​​​​​​​ #STEMLearning​​​​​​​​​​​​​​​​​​ #EdTechTools​​​​​​​​​​​​​​​​​​ #HomeEducation​​​​​​​​​​​​​​​​​​ #SkillBuilding​​​​​​​​​​​​​​​​​​ #InnovativeLearning​​​​​​​​​​​​​​​​​​ #ProductiveLiving​​​​​​​​​​​​​​​​​​ #SmartTools​​​​​​​​​​​​​​​​​​",79340,775,0,[],BN bhole,2025-10-11T07:30:13Z,22,PT9S,hd,2025-10-12T04:03:12.618810
