id,video_id,title,description,views,likes,comments,hashtags,channel,published_at,category_id,duration,definition,crawl_date
1,3afYtOaz1lI,This is Why Rohit Sharma is Called Mumbai Cha Raja 🙌❤️ #shorts #rohitsharma #cricket,"When a guard tried to misbehave with a little fan at Shivaji Park, Rohit Sharma didn’t stay silent 😤
He shouted, “Don’t trouble my fans unnecessarily — they’re just kids, okay!” ❤️
Then clicked a picture with that fan too 🫶
Issi liye wo Mumbai ka Raja Hai! 👑🙌

🔥 Join my official Telegram!
Get exclusive edits, early drops & cricket vibes first!
👉 https://t.me/CoolEditzYT

#RohitSharma #Hitman #MumbaiKaRaja #CoolEditz #TeamIndia #RohitFans #CricketLove #IndianCricket #RohitSharmaFans #Respect #CricketVibes #CricketIndia

Disclaimer:
This video may contain copyrighted material. The use of this material falls under the fair use doctrine of U.S. Copyright Law (Section 107) for purposes such as transformation, criticism, comment, parody, news reporting, education, and research.",8697943,103857,213,[],COOL EDITZ,2025-10-11T06:30:04Z,22,PT15S,hd,2025-10-12T04:02:17.857210
2,Cc8Hkr0BBQM,GOAT Tai Tzu Ying The Tricky Player #badminton #sports #sport #バドミントン #badmintonlovers,,2236336,16340,18,[],BadminGO,2025-10-11T11:37:54Z,17,PT13S,hd,2025-10-12T04:02:17.857259
3,vN1BGvYSVww,Lamine Yamal’s Hidden Talents Across Sports 😍,Lamine Yamal’s Hidden Talents Across Sports 😍,1547402,12153,57,"['mew16', 'mew16 football', 'football', 'short', 'shorts', 'viral football clips', 'lamine yamal', 'hidden talents', 'yamal other sports', 'yamal playing basketball', 'yamal table tennis', 'yamal skills', 'footballers hidden talents', 'athlete crossover', 'football to other sports', 'yamal crossover sports', 'yamal ping pong', 'yamal gym skills', 'yamal beach soccer', 'football versatility', 'footballer talent show', 'yamal multipurpose athlete']",Mew16 Football,2025-10-11T09:04:09Z,17,PT20S,hd,2025-10-12T04:02:17.857277
4,MLcUlicrR3Y,Live | Afghanistan vs Bangladesh | Match 02 | ODI Series | ACB | 311K,"Live | Afghanistan vs Bangladesh | Match 02 | ODI Series | ACB | 311K

#AFGvBAN2025 | #GloriousNationVictoriousTeam | #SportsCentralByDRM

For Latest Updates Follow Us On Facebook & Instagram NOW
https://www.facebook.com/Sports-Central-100403292093264/
https://instagram.com/sportscentral_drm

Welcome to Sports Central where we bring you all the highlights, interviews, behind the scenes footage and more from sporting events across Pakistan.

From Pakistan Super League, International T20 and ODI matches, hockey and Kabaddi to gaming superstars such as Arslan Ash, Sports Central brings you all the sports related updates under one roof.

Sports Central is managed by Dot Republic Media. All Copyright Rights Reserved.

Subscribe to our YouTube channel:
https://bit.ly/SubscribeSportsCentral",1133771,10622,4,"['Sports Central by DRM', 'PSL Sports Central by DRM', 'sports central by drm', 'HBL PSL', 'PCB Archive', 'PCB X Sports Central by DRM', 'cricket highlights sports central', 'Sports Central by DRM Live Cricket', 'Sports Central by DRM Live', 'Sports Central by DRM Cricket Highlights', 'PSL Live', 'HBL PSL Live', 'Live Cricket Match']",Sports Central by DRM,2025-10-11T18:27:02Z,17,PT6H29M16S,hd,2025-10-12T04:02:17.857236
5,C-pTWWRo7SY,Live | Afghanistan vs Bangladesh | Match 02 | ODI Series | ACB | 311K,"Live | Afghanistan vs Bangladesh | Match 02 | ODI Series | ACB | 311K

#AFGvBAN2025 | #GloriousNationVictoriousTeam | #SportsTV

Welcome to Sports TV – Your Home for Current Matches!

🏏 Missed the action? We’ve got you covered! On this channel, you can watch all the thrilling highlights from around the Globe, including epic sixes, match-winning performances, stunning wickets, and unforgettable moments.

👉 Subscribe now and never miss a moment of any Action!

#CricketPakistan #Cricket #SportsTV

Sports TV is managed by Dot Republic Media. All Copyright Rights Reserved.",1023253,10153,3,"['Sports TV', 'Sports', 'TV', 'Sports Central', 'Cricket', 'PCB', 'HBL PSL', 'PSL', 'Cricket Highlights', 'Cricket Live', 'Pakistan Cricket', 'PCB Cricket', 'Sports TV Cricket']",Sports TV,2025-10-11T18:29:28Z,17,PT6H29M41S,hd,2025-10-12T04:02:17.857249
6,RYKZshxvHUQ,Last Over Thriller 😱 |6 ball 31 run required| #tapeballcricket #cricket #trending #viral #shorts,"Last Over Thriller 😱 |6 ball 31 run required| #tapeballcricket #cricket #trending #viral #shorts





#tapeball#tennisball#ramzantapeballcricket#tapeballcricket#tenniscricket#startapeball#tapeballs#nightcricket#nighttournament#tapeballtournament#indoorcricket#tapeballteam#cricketfans#batting#bowling#sports#champions#legend#tennistournament#usacricket#bestbatter#tapeballleague#bestbowler#flick#helicopter#bestshot#psl#tapeballpsl#tapeballs",999026,10333,8,"['zakii_edits1', 'flick', 'helicopter', 'cricket', 'cricket lover', 'best shot', 'flick shot', 'best batter', 'best bowler', 'tournament', 'trending video', 'viral video', 'tape ball', 'tapeball tournament', 'best batter in the world', 'best bowler in the world', 'tape ball match', 'cricket highlight', 'cricket match', 'tennis balls', 'shortsfeed', 'shorts', 'cricket shorts', 'Last Over Thriller 😱 |6 ball 31 run required|']",Zakii_edits1,2025-10-11T07:28:08Z,17,PT27S,hd,2025-10-12T04:02:17.857268
7,bmgqdM3O_3c,Her mother's dying wish was to see her win the championship#olympics #sports #usa #sprint,Her mother's dying wish was to see her win the championship,677267,12478,97,[],GOAT basket,2025-10-11T16:15:08Z,22,PT1M3S,hd,2025-10-12T04:02:17.857471
8,CAqhDKhdf5c,Catch Machine 🤯 Cricket Best Fielder taking Impossible Catches 🏏 #cricket #shorts,#cricket #cricketlover #boxkekhapitar #boxcricket #bestcatches #catch #cricketshorts #shortsviral #shortsvideo #shortsyoutube #shorts #sports #t20 #cricketvideos #cricketworld  #itsrathorevlogs #rathore @boxkekhapitar,405376,4469,9,"['Catch', 'Bestcathces', 'supermancatch', 'fielding', 'Bestfielding', 'cricket', 'boxcricket', 'bowling', 'nightcricket', 'Bowling', 'cricket shorts', 'Viralshorts', 'cricket videos', 'T20', 't20cricket', 'Cricket match', 'Cricket news', 'Cricket channel', 'Cricketcardio', 'IPL', 'ipl2025', 'Rathore', 'itsrathorevlogs', 'Tennis cricket', 'boxkekhapitar', 'indvseng']",ItsRathoreVlogs,2025-10-11T08:58:28Z,17,PT15S,hd,2025-10-12T04:02:17.857360
9,ALzPhg7czYE,Talento senza RISPETTO = zero ! Secondo voi basta il talento ? #football #kids #sports,,399808,11394,61,[],coach okei,2025-10-11T12:03:25Z,17,PT1M57S,hd,2025-10-12T04:02:17.857286
10,dRsPmQ8w1BM,🔴 ATHLETIC-MG X GOIÁS | AO VIVO E COM IMAGENS | BRASILEIRÃO SÉRIE B 2025,"Pela 32ª Rodada do Campeonato Brasileiro da Série B, o Athletic-MG recebe o Goiás no Arena Sicredi. Assista ao vivo, de graça e com imagens!

👉 Acesse e divirta-se com responsabilidade: kto.bet.br/desimpedidossm

#KTOnaSerieB

#SérieBNoDesimpedidos #KTOnaSerieB",356294,6481,5,"['desimpedidos', 'série b', 'serie b', 'serie b ao vivo', 'série b ao vivo', 'ao vivo', 'jogos ao vivo', 'melhores momentos', 'jogo ao vivo', 'brasileirao ao vivo', 'jogo série b ao vivo', 'série b no desimpedidos', 'remo ao vivo', 'Athletic-MG', 'Athletic-MG ao vivo', 'jogo Athletic-MG', 'jogo Athletic-MG ao vivo', 'Athletic-MG x Goiás', 'jogo Athletic-MG x Goiás', 'jogo Athletic-MG x Goiás ao vivo', 'Goiás', 'Goiás ao vivo', 'jogo Goiás', 'jogo Goiás ao vivo']",Desimpedidos,2025-10-11T21:41:15Z,17,PT3H31M29S,hd,2025-10-12T04:02:17.857299
11,dk-LKMxb5-4,人生初の運動会で…まさかの！  #shorts,"うーちゃん人生初めての運動会！！！

マラソンは各クラス4名までの選抜制だったので、選ばれる時点で素晴らしい✨️

4月生まれだから、というのが
要因としてはかなり大きいとは思います。
ですが、やはり嬉しいものです(#^.^#)

かけっこはフライングしたものの
めっちゃ速くてビックリした((((；ﾟДﾟ))))
つーちゃんがかけっこ見ながら

「は？速。」って言ってたw

ダンスも習ってるだけあって
世界一輝いてた🌏✨️

親子競技の綱引きはパパもうーちゃんも負けちゃって、、
つーちゃんが大号泣😭

でもパパ、手を怪我するくらい
真剣に綱引きしたんだよ✨️


運動会の後は大好きなお友達とバイキングに行って、公園で遊んで、とてもステキな1日になったと思います😍

うーちゃんが、ダンスをみんなに見て欲しいと言っておりますので、また動画あげるかもしれません🍀
本番ではなく、お家で踊る動画になります☺️
その際は是非、見てあげてください🙇‍♀️

#めりあんず #運動会 #マラソン #かけっこ",342940,6513,101,[],めりあんず,2025-10-11T10:35:28Z,22,PT47S,hd,2025-10-12T04:02:17.857438
12,mXdpBVGOLUM,INSTANT REACTION 🚨 ‘MLB on FOX’ crew react to Mariners UNBELIEVABLE Game 5 win over Tigers,"Alex Rodriguez, Derek Jeter, David Ortiz and Kevin Burkhardt reacted to the Seattle Mariners Game 5 win over the Detroit Tigers to advance to the ALCS.

#FOXSports #mlb #baseball 

About FOX Sports:
With exclusive highlights, original programming, and behind the scenes footage, FOX Sports' YouTube channel provides the sports content that fans are hungry for. FOX Sports coverage includes: College Basketball, College Football, MLB, NASCAR, NFL, Soccer, and the FIFA World Cup.

www.youtube.com/@foxsports",205442,3266,760,"['fox', 'fox sports', 'fs1', 'fox sports 1', 'sports', 'news', 'sports fox', 'fox sports highlights', 'highlights', 'sports podcast', 'podcast', 'fs1 podcast']",FOX Sports,2025-10-11T05:53:22Z,17,PT20M10S,hd,2025-10-12T04:02:17.857308
13,3eXVvWH18og,Biksu Shaolin Melawan Petinju Sombong #ufc #mma #boxing #sports,,167986,0,0,[],Maniak Boxing,2025-10-11T05:00:06Z,17,PT1M1S,hd,2025-10-12T04:02:17.857352
14,1WaIa5tLaQo,HISTORY IS MADE! 🐐 | 2025 Men's Il Lombardia Race Highlights | TNT Sports Cycling,"2025 Men's Il Lombardia Race Highlights.

News and coverage from the #HomeofCycling in Europe. Watch TNT Sports Cycling anytime, anywhere via: https://bit.ly/3boIVvd

We bring you some of the biggest sports events in the world, such as Vuelta A Espana, The Olympic Games, Tour De France, Giro D'Italia, World Championships amongst so many more.

Do you want to see more? Subscribe now to watch TNT Sports Cycling anytime, anywhere: https://bit.ly/3boIVvd

Follow us on:
YouTube: https://www.youtube.com/@TNTSportsCycling
Twitter: https://x.com/cyclingontnt
Instagram: https://www.instagram.com/tntsportscycling",141952,2963,268,"['Eurosport', 'Discovery', 'Olympics', 'Cycling', 'La Vuelta', 'Sport', 'Sepp Kuss', 'Remco Evenepoel', 'Jonas Vingegaard', 'Warner Bros.', 'Live Sport', 'Youtube', 'Mark Cavendish', 'UAE', 'Emirates', 'Primož Roglič', 'Filippo Ganna', 'Ineos Grenadiers', 'UAE Team Emirates', 'Jumbo-Visma', 'Soudal-QuickStep', 'Cyclocross', 'Tour de France', 'Lance Armstrong', 'Tadej Pogacar', 'Wout Van Aert', 'Mathieu Van Der Poel', 'Julian Alaphillipe', 'Tom Pidcock', 'Egan Bernal', 'Eurosport Cycling', 'British Cycling', 'tnt cycling', 'giro']",TNT Sports Cycling,2025-10-11T16:57:46Z,17,PT8M6S,hd,2025-10-12T04:02:17.857316
15,AnTdAqQBkqg,Shillong Teer Live FR 11/10/2025@Khasi Hills Archery Sports Institute@Shillong Teer Result 🔴,"Shillong Teer Live FR 11/10/2025 - Khasi Hills Archery Sports Institute - Shillong Teer Result 1st Round 🔴

You can also find below list:-

shillong teer live
shillong teer result
Teer live
Shillong teer live today
Shillong teer result live
shillong teer formula
shillong teer
shillong teer result first round
shillong teer common
shillong teer target
shillong teer results
shillong teer counter
teer shillong
shillong teer common number today
shillong teer live result
shillong
shillong teer result online
today shillong teer result
shillong teer number
shillong teer booking number
shillong teer live today
shillong teer common numbers today
shillong teer target today
shillong teer common number
shillong teer today
Live teer

__________________________________________________
_____🙏_________Disclaimer__________🙏_____

This video is for educational purpose only.Viewing this is your own risk.The information shown on video is numerology astrology for information purpose.we are not not associated with any illegal matka business or gamblers.we worn you that matka gambling in your country may be banned or illegal. We are not responsible for any issue or scam.we respect all country rules and laws.If you are not agree with our video please quit our video right now.

This content is follow all YouTube policy and community guidelines for YouTube.

__________________________________________________

Copyright Disclaimer:- Under Section 107 of the Copyright Act 1976, allowance is made for 'Fair Use' for purposes such as criticism, comments, news reporting, teaching, scholay, and research.
Fair use is permitted by the copyright statute that might otherwise be infringing, non-profit, education or personal use tips the balance in favour of fair use.

This channel all  live stream video credit : @Khasi Hills Archery Sports Institute KHASI Shillong
___________________________________________________



#Shillong_Teer_Live_11_10_2025 #Shillong_Teer_FR #Teer_Live #Shillong_Teer_Result #1st_Round_Live #Khasi_Hills_Archery #Archery_Sports_Institute #Teer

__________________________________________________

Thanks For Watching and Liking ⚡
Keep Loving
Keep Support ✌️",132229,1585,2,"['khasi hills archery sports institute', 'shillong teer result', 'shillong teer live', 'teer live', 'shillong teer fr']",Shillong Teer Live,2025-10-11T10:28:15Z,27,PT1H25M45S,hd,2025-10-12T04:02:17.857421
16,z-nkGvfxr_w,巨人でイキイキしているトレード選手 3選#sports #shorts #プロ野球 #野球 #やきゅスト,,127300,1004,18,[],野球情報ストリーム,2025-10-11T09:01:22Z,17,PT56S,hd,2025-10-12T04:02:17.857378
17,l7IDQju4fP8,Pelestine vs Portugal match penalty shootout imaginary match #cr7​ #sports​ #shorts​ #football​,Pelestine vs Portugal match 2026 || penalty shootout ||  imaginary match || #cr7​ #sports​ #shorts​ #football​ #ronaldo,122863,0,22,"['shorts', 'Football', 'Ronaldo', 'football shorts', 'Ronaldo shorts', 'cr7 shorts']",Mostakim Sports Vibe ,2025-10-11T09:39:36Z,17,PT1M,hd,2025-10-12T04:02:17.857369
