video_id,views,likes,comments,crawl_date
--b_A-cZKK0,408,6,0,2025-11-25T03:45:53.995434+00:00
--zrvwYl9UA,7248,0,0,2025-11-25T03:45:53.995454+00:00
-2DjEtjr1xg,84321,318,2,2025-11-25T03:45:53.995458+00:00
-2SeU7hzTVU,12985,490,18,2025-11-25T03:45:53.995464+00:00
-5SF1eXuhAQ,34088,0,1,2025-11-25T03:45:53.995467+00:00
-69vFdMBkmo,9457,82,0,2025-11-25T03:45:53.995469+00:00
-7L2w-ydpi8,323692,2308,64,2025-11-25T03:45:53.995472+00:00
-86iRns7jPg,523764,14881,59,2025-11-25T03:45:53.995478+00:00
-8GzVl6LESo,459,6,0,2025-11-25T03:45:53.995482+00:00
-8if4etcKzc,3635,85,0,2025-11-25T03:45:53.995485+00:00
-8wJ9p4zftA,4677,80,0,2025-11-25T03:45:53.995488+00:00
-8zDdhCwfsU,1269648,11243,0,2025-11-25T03:45:53.995490+00:00
-9eJ-YAB0uY,24077,2469,4,2025-11-25T03:45:53.995493+00:00
-A_TIvqlD48,446641,5807,159,2025-11-25T03:45:53.995496+00:00
-A_bpISupok,47,4,0,2025-11-25T03:45:53.995498+00:00
-BNcQeMQFg4,101458,2504,1152,2025-11-25T03:45:53.995500+00:00
-BgjhW_wVMw,31111,756,23,2025-11-25T03:45:53.995503+00:00
-C0OzhGSfng,355440,5246,12,2025-11-25T03:45:53.995505+00:00
-CCavyfCsfo,482,4,1,2025-11-25T03:45:53.995508+00:00
-Ehk4pUbAf8,1252,7,3,2025-11-25T03:45:53.995510+00:00
-Hs-cO7I0Z4,37814,223,0,2025-11-25T03:45:53.995513+00:00
-J9QRMI80FE,9264,57,1,2025-11-25T03:45:53.995515+00:00
-JCWbG-e85w,5007,28,0,2025-11-25T03:45:53.995518+00:00
-KZbXmfVCIA,1450,17,1,2025-11-25T03:45:53.995520+00:00
-Matyw24dSk,28278,169,0,2025-11-25T03:45:53.995522+00:00
-MqcV2RGlfA,2126,46,0,2025-11-25T03:45:53.995525+00:00
-MsSkX_PjbE,79895,6826,251,2025-11-25T03:45:53.995527+00:00
-PG2RHXI_3k,35759,546,1,2025-11-25T03:45:53.995530+00:00
-PHcunhDhXU,1239,19,0,2025-11-25T03:45:53.995532+00:00
-QRQbNUsAOg,2917,12,0,2025-11-25T03:45:53.995535+00:00
-Qw3V9IB4Po,17299,56,0,2025-11-25T03:45:53.995537+00:00
-RM9hmcSnMA,321,17,3,2025-11-25T03:45:53.995540+00:00
-TTNgjfkKtA,285304,1551,0,2025-11-25T03:45:53.995737+00:00
-ThLS10RUNY,171617,703,0,2025-11-25T03:45:53.995740+00:00
-Thuc8jYlKw,50441,82,0,2025-11-25T03:45:53.995743+00:00
-Tq5x61gai8,639798,20397,422,2025-11-25T03:45:53.995746+00:00
-VZvel6ALTM,9205,148,1,2025-11-25T03:45:53.995748+00:00
-Wn33rSj9Gs,151424,3951,9,2025-11-25T03:45:53.995751+00:00
-c-s2GO8sh4,1913,24,1,2025-11-25T03:45:53.995753+00:00
-c61A6-JkhE,985,26,7,2025-11-25T03:45:53.995756+00:00
-d8qVgK3xNw,8584,0,0,2025-11-25T03:45:53.995758+00:00
-fMRQw-GUCs,1212,0,1,2025-11-25T03:45:53.995761+00:00
-geu_dfJoBY,261,6,2,2025-11-25T03:45:53.995763+00:00
-ha8pd0qLgY,77071,103,1,2025-11-25T03:45:53.995766+00:00
-heehDW7VUg,24549,336,0,2025-11-25T03:45:53.995768+00:00
-jTiCkLpbdE,946,30,0,2025-11-25T03:45:53.995770+00:00
-lBxERmKBgw,45814,605,0,2025-11-25T03:45:53.995773+00:00
-mtaR_eH6Lw,1337,28,0,2025-11-25T03:45:54.601276+00:00
-o5BZw5hg-0,5994011,95051,85,2025-11-25T03:45:54.601297+00:00
-q11rFZ7z9w,1850,42,0,2025-11-25T03:45:54.601302+00:00
-q2XrVwrTHQ,36745,202,0,2025-11-25T03:45:54.601306+00:00
-qJ1234CIzs,4565,587,1,2025-11-25T03:45:54.601309+00:00
-qZ14tRjFS8,26197,1430,16,2025-11-25T03:45:54.601312+00:00
-tRHxHZsQ8A,29911,0,47,2025-11-25T03:45:54.601316+00:00
-tYsc8KEXcU,844024,5463,19,2025-11-25T03:45:54.601319+00:00
-t_lurEiSfw,2550,45,0,2025-11-25T03:45:54.601322+00:00
-u5qcayZ0Vk,1114,6,0,2025-11-25T03:45:54.601325+00:00
-vR09a0uW7Y,27933,290,0,2025-11-25T03:45:54.601329+00:00
-vfpPa-nptU,1148,8,0,2025-11-25T03:45:54.601332+00:00
-yBoeycdnRA,4977,245,7,2025-11-25T03:45:54.601335+00:00
-yPrfCKAA0U,9280,360,0,2025-11-25T03:45:54.601339+00:00
-ybakd9oJcg,56850,186,17,2025-11-25T03:45:54.601342+00:00
-ztbkBAgXDk,873,21,0,2025-11-25T03:45:54.601345+00:00
00eFG4NGVtQ,21186,129,1,2025-11-25T03:45:54.601348+00:00
05UrwdOCUJ8,2902,26,1,2025-11-25T03:45:54.601352+00:00
06EPIRoocE4,88426,746,0,2025-11-25T03:45:54.601356+00:00
07lCoi5VzBk,1044968,0,101,2025-11-25T03:45:54.601359+00:00
0AXs2oQibHU,2139,14,4,2025-11-25T03:45:54.601362+00:00
